報導標題,報導日期,報導大意,報導內文
2024大選／侯重提藍白聯合政府 柯文哲：先確認誰能做決定,2024-01-02,選戰倒數，各政黨候選人陸戰齊發，國民黨侯友宜回防新北本命區，1日拋出當初藍白合簽署6點協議仍算數，選後一定會成立聯合政府的說法，遭柯文哲反譏請國民黨先確認是誰在做決定；柯文哲上午與副手搭檔吳欣盈分進合擊，展開全台車隊掃街；民進黨賴清德則到嘉義輔選，日前「《憲法》災難說」惹議，賴清德重申，硬把《中華民國憲法》九二共識化才是真正的危險。,選戰倒數、啟動陸戰，民眾黨柯文哲上午與副手搭檔吳欣盈分進合擊，展開全台車隊掃街拉抬選情，對於侯友宜1日拋出當初藍白合簽署6點協議仍算數，選後一定會成立聯合政府的說法，柯文哲反譏，請國民黨先搞清楚現在是誰在做決定。民眾黨總統候選人柯文哲表示，「請國民黨先搞清楚是誰在做決定？朱立倫不是說堅壁清野嗎？侯友宜又跑出來講這種話。現在跟國民黨沒得談，都已經是中共支持的人，要談什麼？」柯文哲車隊從新北市出發，一路由北而南，並於8日從高雄、台南折返再回防北台灣。民進黨賴清德也抓緊時間到嘉義輔選立委，日前「《憲法》災難說」惹議，賴清德重申，硬把《中華民國憲法》九二共識化，才是真正的危險。民進黨總統候選人賴清德指出，「中國國家主席習近平，已經多次定義九二共識就是一個中國原則、台灣一國兩制的方案，在這種狀況下硬是要把《中華民國憲法》九二共識化，才是真正的危險。」對於趙少康在副總統辯論會中猛攻萬里老家爭議，賴清德回應已經交給律師處理，交付公益信託，不會改變。國民黨侯友宜上午回新北本命區掃街，輔選大將李乾龍更斷言「棄侯保柯」不會實現。侯友宜新北競總總幹事李乾龍提到，「我想棄保效應在未來會不會成真，我們還在期待、觀察中，我想大家對侯康配的支持度一直有很高期待。」藍營評估，侯友宜回防北北基桃要保持100萬票左右的差距才有勝選機會，針對侯康配在封關民調顯示流失中間選民，李乾龍認為民調只是參考，對侯康配非常有信心。
2024大選／副總統辯論交互詰問 聚焦能源與少子化等議題,2024-01-01,副總統候選人電視辯論會今（1）日登場，攻防激烈，在交叉詰問部分，3位候選人聚焦能源政策、少子化以及台積電赴美設廠等相關議題。不過，趙少康在第二輪針對蕭美琴的國家認同做提問，僅在最後補了一句「也請吳欣盈說明」。對此，吳欣盈在答覆時呼籲，不要把她當空氣，喊話絕對不要搞棄保，因為棄保就是喪失自己的投票權。,2024大選副總統候選人辯論會1日舉行，3位候選人展開激烈交鋒。交叉詰問環節，民進黨副總統候選人蕭美琴首先聚焦能源議題，詢問對手核電廠要蓋在哪？核廢料又要如何處理？民眾黨副總統候選人吳欣盈認為，不能用意識形態處理核電問題；國民黨副總統候選人趙少康則表示，地下掩埋挖深以後再強固核廢料。趙少康回應，「你最尊敬的美國怎麼處理核廢料，我們就怎麼處理；美國現在地下掩埋，挖深以後把它強固起來，我們就這樣做。全世界幾乎90%的核電國家都是這樣做。」吳欣盈認為，「核電是很嚴肅的科學問題，不能是用意識形態來處理。柯盈配是主張核二、核三延役，核四盡速全體盤查再決定下一步。」吳欣盈也提問對手，如何解決少子化、高齡化國安危機、以及勞保破產問題？ 趙少康重申「0到6歲國家養、7到12歲國家顧」政策；蕭美琴則指出，蔡總統任內增加長照預算、育兒津貼。蕭美琴表示，「對長輩的照顧，長照政策在多年來，蔡英文總統從她剛擔任的時候預算不到50億，提高到現在會超過800億。」趙少康說道，「0到6歲國家養，國家通通養；7到12歲國家顧，甚至可以顧到晚上7點；在家自己照顧的每個月給1萬補助；生第3胎的家庭給100萬。」至於勞保部份，趙少康認為，應從提高基金管理的收益率著手，也提問吳欣盈跟蕭美琴，過去都曾是美國人，若台灣與美國衝突的時候，要效忠誰？以及台積電赴美設廠等相關問題。吳欣盈說：「我們台灣是以製造業為主的國家，能源昂貴甚至於不利的話，其實台灣的產業是沒有競爭力的，台灣也要必須快速進入，要轉移從碳權變成碳排放交易所。」蕭美琴回答，「有關台積電赴美碰到的難題跟障礙，我們一起在面對；他們基於客戶的需求做全球的布局，不是讓我們扯後腿，我們應該要給它最好的支持。」蕭美琴強調，台積電赴美碰到難題要一起積極面對，也解釋台灣現無缺水、缺電問題。不過，趙少康在第二輪猛攻蕭美琴提問國家認同，僅在最後補了一句「也請吳欣盈說明」。吳欣盈則呼籲，不要把她當空氣，喊話絕對不要搞棄保，因為棄保就是喪失自己的投票權。
2024大選／副總統辯論會 趙少康宣布請辭中廣董事長,2024-01-01,副總統候選人辯論會上，國民黨的趙少康先在申論階段，宣佈辭去中廣董事長等職務，成為全場焦點。而在媒體提問環節，聚焦外交、國防以及兩岸議題。民進黨蕭美琴表示，會發揮自己駐美經驗協助總統，再指國民黨把九二共識化的《憲法》當作護國神山不可行。趙少康拋出和中國談外交休兵，強調兩岸的九二共識可以不一樣。民眾黨吳欣盈則說，藍靠中、綠反中，都失去台灣主體性，民眾黨會走出第3路線。,副總統候選人辯論會上，國民黨副總統候選人趙少康宣佈辭去中廣董事長等職務，當場拿出離職書簽名，成為全場焦點。而媒體提問3人，如果當選怎麼提供協助，突破外交困境？民進黨副總統候選人蕭美琴表示，會發揮自己駐美經驗，務實深化與理念夥伴的關係。民眾黨副總統候選人吳欣盈是再砲轟外交部，認為未來要注重國際二軌外交。趙少康則主張應和中國談外交休兵，並以經濟實力獲得他國尊重。蕭美琴表示，「務實的做法就是以台灣實質需要議題，來找尋生存的空間。」吳欣盈認為，「我覺得外交部就是穿國王的新衣，然後被我點破沒穿衣。注重雙向貿易協定跟雙向的一些交流。」趙少康提出，「還是要跟大陸談外交休兵，不要再搶來搶去。第2點，自己的實力要提升。」對於中華民國《憲法》成為大選兩岸政策的核心議題，蕭美琴再指出，國民黨把九二共識化的《憲法》當作護國神山不可行。趙少康回擊稱，共識可以不一樣，強調國民黨從頭到尾反對一國兩制，批評賴清德的台獨才造成災難。而吳欣盈表示，藍靠中、綠反中，都失去台灣主體性，民眾黨會走出第3路線。蕭美琴提到，「對岸已經明確提到九二共識就是一中，沒有各表，不認同不能叫做共識，這是懂中文的人都知道。」趙少康說道，「共識就是他講他的、你說你的，跟九二共識連結的《憲法》是一個中華民國的九二共識。」吳欣盈指出，「當前海峽兩岸是和平、沒有戰爭的，就是建立在中華民國概念上面。」強化國防方面，吳欣盈認同國防預算應拉高，同時提升軍人待遇。趙少康接續喊出要替每位職業軍人加薪2萬元。蕭美琴強調三大方向，包含強化訓練、軍備升級、與理念相近的國家合作。吳欣盈認為，「國軍要均朝實戰化、專業化、合理化、透明化的方向改革。」趙少康表示，「重賞之下必有勇夫，我們用比較高的待遇募集有志之士、願意為國效勞的職業軍人。」蕭美琴提及，「軍備能夠自己做的就自己做，不能自己做就去購買。」3人也被問到，選後要以何種方式團結台灣以及評論彼此的優點。趙少康指出，執政後不會選擇御用媒體打擊對手，稱讚蕭、吳分別擅長外交、財經。蕭美琴表達願邀2位對手共商國事，敬佩趙的口才與吳願為國家奉獻的理想。吳欣盈則指出跨黨派合作的重要性，但沒說對藍綠副手的看法，反而回答柯文哲的優點。
2024大選／侯賴出席升旗典禮 柯籲民眾選擇新政治,2024-01-01,選戰倒數，民進黨總統候選人也是副總統的賴清德，一早出席總統府元旦升旗典禮，手持小國旗唱國歌。國民黨侯友宜參加黨中央元旦升旗，強調會用最大力量勝選。民眾黨柯文哲前往台東迎接曙光，但因為天候不佳不見日出，柯文哲表示，黎明來臨之前的夜晚總是黑暗的，拚選舉信心滿滿。,跟總統蔡英文都手持國旗唱國歌，副總統也是民進黨總統候選人的賴清德，出席總統府元旦升旗典禮，在升旗典禮結束後，賴清德要回總統府之前，還跟凱道上的民眾揮手致意。回到總統府，蔡英文發表新年談話，對於媒體想提問同樣也有出席的賴清德，對台灣8年的看法和期許，賴清德表示會另外開記者會說明。另外總統府1日開放參觀，蔡蔡英文跟賴清德也向民眾發放春聯和紅包袋。大聲唱國歌，國民黨侯友宜在中央黨部參加元旦升旗，致詞時表示新的一年盼望中華民國是台海護國神山，台灣團結共好、中華民國永續繁榮。國民黨總統候選人侯友宜表示，「面對這場選戰，我一定會用我最大的力量贏得勝選。」隨後朱立倫、侯友宜還到桃園大溪頭寮陵寢謁陵，朱立倫更宣示，國民黨會堅守蔣經國路線。民眾黨柯文哲則選擇到台東迎接2024年曙光。雖然天候不佳，期待的日出並沒有出現，但柯文哲還是熱情跟民眾合照，幫支持者簽名留念，更呼籲民眾要選擇新政治。民眾黨總統候選人柯文哲指出，「黎明來臨之前的夜晚總是黑暗的，但是黎明一定會到來，從一開始不看好，到現在已經三強鼎立。」隨後柯文哲更舉行原住民政策分享會暢談政見，除了繼續拉抬聲勢，更要吸引多元族群的選票。
2024大選／柯文哲台東迎曙光 侯賴出席升旗典禮,2024-01-01,迎接2024，各黨總統候選人有不同行程。民眾黨柯文哲到台東迎曙光；國民黨侯友宜是出席7時在國民黨黨部前舉行的升旗典禮；民進黨賴清德則是手拿國旗，和總統蔡英文共同出席府前元旦升旗典禮。,這是總統蔡英文任內最後一次元旦升旗，唱國歌時，她和賴清德全程開口唱。稍後上午8時30分會在總統府發表元旦談話，之後將接受媒體提問。這是她9月出訪史瓦帝尼與隨行記者茶敘受訪後，再次接受媒體的提問。 
2024大選／賴批侯憲法與九二共識混為一談 侯回擊賴支持台獨,2023-12-31,2024大選倒數13天，在總統候選人電視辯論會結束後，話題持續發酵。賴清德今（31）日再批國民黨侯友宜，把《中華民國憲法》與九二共識跟混為一談；侯友宜回擊賴清德就是支持台獨、不認同中華民國。至於民眾黨柯文哲，持續砲打藍綠對手，說辯論時都在閃躲提問。,看到有小學生支持者拿著聯絡簿來要簽名，民進黨總統候選人賴清德寫下「學業進步」勉勵。大選倒數前的黃金週末，賴清德連跑雙北、桃園，努力催票。而前一天辯論會話題持續發酵，他原要批國民黨侯友宜，將《中華民國憲法》當作兩岸護國神山會帶來災難，但口誤漏了「憲法」兩字，引起爭議，不過賴強調如果自己當選總統，會依憲法推國政。賴清德提及，「侯友宜把《中華民國憲法》跟九二共識混為一談 ，而且說成是中華民國的護國神山，我認為這種說法對台灣是危險的。未來我當總統的話 ，我當然是根據《中華民國憲法》還有現有的法律在推動國政。」國民黨總統候選人侯友宜回擊，「請問賴清德，中華民國跟《中華民國憲法》有什麼不一樣？你說會帶來災難，就是你內心也是支持台獨，你現在是在選中華民國的總統耶，不能老是做忘恩負義的事情。」侯友宜回擊指出賴清德就是支持台獨、不認同中華民國，侯友宜一整天行程安排在彰化車掃、造勢，力拚穩住中部支持度，並和曾表態挺郭台銘而退黨的議長謝典林合體，象徵整合完成。民眾黨柯文哲則在新北競總召開歲末記者會，砲打藍綠對手辯論時都在閃躲提問，「賴清德有回答我的問題，只是都講錯，還越講越糟糕；侯友宜比較聰明，就通通不回答。一個是不認同中華民國，一個是中共支持的，不過他們有個共同點，遇到我的問題都很會閃。」柯文哲也宣布新年元旦會前進台東迎接第一道曙光，緊接著2日到12日將和副手吳欣盈分進合擊、進行全台大車掃，兩人一北一南拉抬聲勢，衝刺最後選情。
2024大選／賴侯柯交互詰問 交鋒土地爭議與房地產 ,2023-12-30,總統候選人電視辯論會在下午2時登場，3位候選人交叉詰問激烈交鋒，聚焦在兩岸、房產和廢死等議題。侯友宜重申會支持死刑立場；而柯文哲則提出終身監禁做法；至於賴清德則表示程序要嚴謹。當談到房產爭議時，侯友宜強調，從頭到尾都是合法繳稅；賴清德說交付公益信託就是他的誠意；至於柯文哲哽咽解釋，父親買那塊地是希望有一天能回新竹當醫生，感慨人生際遇，無法符合父親期望。,2024總統候選人電視辯論會30日下午2時登場，交叉詰問階段，賴清德率先詢問，中華民國和中華人民共和國是否互相隸屬？要消滅中華民國的是民進黨還是共產黨？也質疑對手主張內閣制是否要把總統虛位化？民眾黨總統候選人柯文哲回應，「兩岸一家親，我在2015年就提過了，這只是對大陸方面表達的善意，在這個善意上大家可以繼續交流，把這個去跟一個中國扯上關係就是典型的穿鑿附會。」國民黨總統候選人侯友宜表示，「我們主張九二共識，所有的共識都是在中華民國《憲法》之下；內閣制是大家有共識修憲往前走的一條路，是聯合政府之前先做準備，未來朝內閣制發展。」侯友宜也聚焦廢死議題，除了重申支持死刑立場，也指出台灣有8成民意支持維持死刑、反對廢死，要對手表態反對還是贊成死刑？柯文哲提出終身監禁的做法，賴清德則表示程序要嚴謹。民進黨總統候選人賴清德認為，「台灣現行司法在死刑執行上有非常縝密的程序，很多人不希望廢除死刑，我理解大家心中的不安，但我們仍應回到問題源頭改善，最好的刑事政策其實是社會政策。」民眾黨總統候選人柯文哲指出，「死刑不管在大陸、台灣甚至在華人地區，這是有文化基礎的，可是要面對世界壓力，怎麼辦？我目前想得出來折衷方案只有如果真的要不執行死刑，那就真的要終身監禁不能放出來。」房產爭議也成為攻防焦點，柯文哲哽咽解釋，父親買那塊地是希望有一天他回新竹當新竹醫院院長，感慨這麼多年來人生的際遇就是沒辦法符合父親的期望。賴清德表示，萬里工寮交付公益信託就是他的誠意。侯友宜則強調，從頭到尾都合法繳稅。國民黨總統候選人侯友宜指出，「我老婆的財產都是繼承而來，從頭到尾都是合法繳稅，也所有都有規矩；99個門牌那都是1個合法的建築物，大家可以去查。」民進黨總統候選人賴清德提到，「礦區內的房子是沒有法律可以遵循，年久失修雇工來修建 是必然結果；我已經交付公益信託就是我的誠意。」柯文哲也針對卡管案、林智堅論文抄襲案以及高端疫苗等議題向賴清德提問，賴清德回應，他贊成應該要公開合約，因為人民有知的權利。唯一一場總統辯論會落幕，副總統候選人電視辯論會，預計將在2024年元旦下午2時舉行，爭取選民支持。
2024大選／柯侯質疑「中華民國說」 賴：不應拿口誤來攻擊,2023-12-30,總統候選人在辯論會後，各自舉行記者會，柯文哲以及侯友宜都質疑賴清德，把中華民國當作是兩岸的護國神山，到底是要促進和平，還是要給台灣帶來災難？不過賴清德澄清是口誤，把「中華民國憲法」講成中華民國，更反批柯文哲口誤也沒有拿來攻擊。至於3人對自己的表現如何，都說交給社會大眾評斷。,藍綠白三黨總統候選人的交鋒，從辯論會後延伸到各自記者會。由於賴清德在辯論會回答媒體提問時說，把中華民國當作是兩岸的護國神山，到底是要促進和平，還是要給台灣帶來災難，柯文哲表示離譜，侯友宜覺得難過。民眾黨總統候選人柯文哲認為，「奇怪你怎麼會講這句話，中華民國如果做為兩岸的護國神山會帶來災難，那你今天是要選哪一個？還有一個地方也是講錯，他說兩岸互不隸屬就是台獨。」國民黨總統侯選人侯友宜指出，「中華民國是災難，我聽了我非常的難過，在這塊土地養大照顧你的，你居然忘恩負義。」遭兩位對手批評，是說出真正心聲，賴清德強調是口誤，還反批講到兩岸政策，柯、侯兩人都是實問虛答。民進黨總統候選人賴清德說：「我把中華民國憲法講成中華民國，柯文哲市長也知道我口誤，又來政擊這一點非常不應該，他說窮人要繳更多的稅，但我也不會利用他的口誤來攻擊。」賴清德批評柯文哲說了一口好政治，酸侯友宜不適合在辯論場誇自己的防疫表現，但柯文哲說，市長任內很有執行力，侯友宜則強調，誠信最重要，而選戰倒數，根據美麗島電子報公布最新民調，賴蕭配下降0.6%，侯康配小幅下挫，柯盈配微幅上升，三人如何看待？民眾黨總統候選人柯文哲回應，「這場選舉在台灣歷史上是第一次要看看公民運動的力量有多大。」國民黨總統侯選人侯友宜說：「團結所有台灣在野的力量，下架貪腐無能的民進黨。」民進黨總統候選人賴清德表示，「我們的責任、我們的使命就是總統、副總統要贏，而且國會要過半。」唯一1場總統侯選人辯論會，3人說出政見主張、質問對手，也顯現人格特質，至於對自己的表現打幾分？覺得對手表現如何？三人都說就交給選民去判斷。
2024大選／總統候選人辯論會登場 媒體提問聚焦兩岸議題,2023-12-30,總統大選辯論登場，媒體提問直攻藍綠白最敏感的九二共識、統獨議題，國民黨總統候選人侯友宜全程用台語論述，猛批對手；民進黨賴清德兩岸立場模糊，重申自己反台獨、反對一國兩制，賴清德強調，中共對台生存威脅最大，賴蕭配當選風險最低，也會延續總統蔡英文的小英外交路線；民眾黨柯文哲支持蔡英文外交路線，但國內、兩岸政策一團糟，他認為，兩岸可參照美中互動模式，可以競爭、合作、對抗。,總統大選辯論會媒體提問，圍繞美中台三方關係，民進黨賴清德強調，自己最有經驗，可以延續總統蔡英文的「小英路線」，不會循國民黨老路，國民黨侯友宜反擊，小英路線好的話，為何台灣斷了9個邦交國，民眾黨柯文哲則狠批蔡總統國內、兩岸政策亂七八糟，但支持外交路線。民進黨總統候選人賴清德表示，「特別是蕭美琴過去擔任美國大使，我們有非常好的基礎，可以往這條路上繼續前進。」國民黨總統候選人侯友宜說：「變成兵役要延長1年以及造成戰機一直飛過來，如果這個路線走得通的話，全世界不會關心台海安全問題。」民眾黨總統候選人柯文哲認為，「支持小英的外交路線，請注意外交路線，民進黨現在是可以合作的時候，他也要對抗，國民黨會比較讓人家擔心的是必須對抗的時候，你也要合作。」侯友宜緊抓九二共識、統獨議題，猛打賴清德兩岸立場模糊，民進黨抹黑九二共識，賴清德回擊，對台生存威脅最大的就是中共，賴蕭配當選風險最低，柯文哲認為，兩岸能參照美中互動模式。國民黨總統候選人侯友宜指出，「台灣的中間路線，第1個反台獨，第2個遵守民主自由制度，我反對一國兩制。」民進黨總統候選人賴清德說：「柯市長我要建議你，你如果說接受九二共識，就是台灣的新中間主義，我看台灣社會沒有幾個人會贊成。」民眾黨總統候選人柯文哲表示，「可以合作的時候合作，需要競爭的時候競爭，必須對抗的時候對抗，體育、文化、宗教這個大概爭議比較少。」針對中共提高介選力道，侯友宜強調，反對境外勢力介選，引來賴清德回擊，為何讓國民黨副主席夏立言到中國，柯文哲直言，國家機密會洩漏，最大問題是刑責太輕。民眾黨總統候選人柯文哲提到，「軍事洩密案平均判刑1年半，歐美國家是19年，我們是1年半，這哪一門子的法律。」民進黨總統候選人賴清德說：「如果你真的反對的話，那為什麼中國所有的介選，支持的目標通通都是你。」國民黨總統候選人侯友宜表示，「里長去吃兩頓飯被抓去辦，趙天麟去親中，他沒事情，他還國防委員會，賴清德先生2017年也去大陸。」柯文哲認為要解決貧富不均，落實居住正義，必須提高富人所得稅課稅，社會福利偏向弱勢，賴清德表示，自己是唯一沒有炒房、炒地的總統候選人，提出8年規劃30萬戶社宅，侯友宜否認炒地皮、炒房，提出1500萬元免頭期款，要減輕青年買房壓力。
2024大選／辯論會後記者會 候選人異口同聲：交給人民評分,2023-12-30,今（30）日下午2時舉辦2024年總統大選電視辯論會，會後柯文哲、侯友宜、賴清德都未自我評價表現，異口同聲表示，要將辯論會中表現評分交給人民。柯文哲與侯友宜則抨擊賴清德將中華民國視為災難，賴清德會後坦承是口誤。,2024年總統大選電視辯論會於今日下午4時15分結束，會後柯文哲表示，對於自己的表現交給民眾打分，無特別補充，相較之下執行力與解決問題更加重要；副手吳欣盈則評價柯文哲表現完美。侯友宜同樣不自評表現，交由選民公認。賴清德則認為，自己做好準備也爭取最好表現；陪同的蕭美琴肯定賴清德表現，辯論後對賴清德更有信心。面對民調領先，賴清德回應目標還未完成，期盼過半選票支持與國會過半。不過，賴清德在辯論會中說：「把中華民國當作是兩岸的護國神山，這到底是要促進和平，還是要給台灣帶來災難？」侯友宜批評，賴清德對中華民國的心態讓他非常難過，是在否定國家。柯文哲也抨擊，涉及國家定位要非常小心，但賴清德好像沒有準備好，辯論會失言。賴清德承認將「中華民國《憲法》」口誤為「中華民國」，重申當選後會持續守護中華民國，以價值外交強化國防與經濟，與中國對等溝通。他認為今日的提問都未被好好回答。也再次強調，「台獨」代表主權屬於台灣所有人民，在辯論會上卻被抹黑攻擊。
