報導標題,報導日期,報導大意,報導內文
世紀之疫後迎來免疫負債 一文帶你看懂如何預防 ,2023-09-27,新冠肺炎趨緩後，全世界開始擔心「免疫負債」下，在新冠疫情期間病例數下降的流感、腸病毒等流行性疾病可能大規模爆發。《公視新聞網》帶你一文看懂何謂免疫負債且該如何預防。,大眾為了預防新冠肺炎，在疫情期間勤洗手、戴口罩、保持社交距離，因此感染呼吸道疾病、腸胃道疾病的機率下降，連帶使得流感、腸病毒的病例數下降。當防疫禁令解除，民眾不再遵守防疫規範，病毒就容易爆發流行，把過去未流行的數量補回來，此現象即是「免疫負債」。疾管署資料顯示，上週流感門診的就診人數相較去年同期增加近7萬例。今（2023）年累計的流感併發重症數已達719例，遠高於去年總數的22例。9月10日當周腸病毒急診就診數為12982例，也比去年同期489人增加逾1萬例。從數據上來看，今年各種流行性傳染病的病例數相較去年都大幅成長。更有醫師單日看診驗出6種病毒，免疫負債現象恐將出現。該醫師指出，他在單日看診就驗出新冠病毒、RSV病毒、A型流感、腺病毒、腸病毒、病毒性腸胃炎。都是近期需要特別注意的病毒。RSV病毒是呼吸道融合病毒，典型症狀有咳嗽、流鼻涕、發燒等，較嚴重時可能引發急性支氣管炎、氣喘發作及嬰兒哮喘。冬季是RSV病毒的好發季節，藉由飛沫傳染，是造成嬰幼兒嚴重下呼吸道感染的主要原因。A型流感主要症包含發燒及呼吸道症狀，少數病患會有腸胃道症狀，包括腹瀉、嘔吐狀。澳洲今年A型流感確診數達5年新高，且病例多集中在青少年及兒童。與一般感冒不同的是，A型流感更容易讓人產生全身無力，症狀時長也更長。腺病毒是感染人類黏膜的病毒，可能導致呼吸症狀，亦可導致腹瀉、眼睛發炎及紅疹。好發於半歲至5歲幼童，症狀與一般感冒類似，容易出現高燒、咳嗽、流鼻水等症狀。若是成人感染，主要會有病毒性肺炎、呼吸道感染與角膜結膜炎等症狀。腸病毒典型症狀為口腔、手掌、腳掌出現水泡、潰瘍，可能合併發燒，病程為7至10天。為幼兒常見的疾病，是一群病毒統稱，包含小兒麻痺病毒、克沙奇病毒及腸病毒等種類，總共有數十種以上。成人也會感染腸病毒，只是通常症狀較輕微，與一般感冒無明顯差異。病毒性腸胃炎主要症狀是水瀉和嘔吐。也可能會有頭痛發燒、腹部痙攣、胃痛噁心等症狀。通常感染後1至3日開始出現腸胃炎症狀，症狀可以持續1至10日。感染期間，需要注意飲食清淡，避免刺激腸胃。若出現上述症狀，建議配戴口罩並到附近診所就醫。預防流行性疾病與預防新冠肺炎相似，同樣需要勤洗手、配戴口罩並保持適當的社交距離。每年施打流感疫苗是提升免疫力的重要方式，流感疫苗的保護期較短，通常僅能維持3至4個月。除了能降低感染流感重症率，呼吸道常出現一次感染2至3種病毒，因此，施打呼吸道疾病疫苗，包含流感疫苗、百日咳疫苗、肺炎鏈球菌疫苗也能同時降低新冠肺炎死亡率。疾管署今（27）日公布10月2日起，公費流感疫苗分兩階段開打；也分三階段開放肺炎鏈球菌疫苗施打。疾管署建議民眾施打疫苗可分別在不同部位接種，建議兩針距離2.5公分或間隔時間接種。
挪威研究：接種新冠疫苗後 無月經女性意外出血風險增,2023-09-27,挪威研究發現，因停經或服用避孕藥等原因而無月經的女性，接種COVID-19疫苗後，陰道意外出血的風險增加；而出血最常發生在第1劑和第2劑疫苗接種後的1個月內。研究團隊認為，這可能與疫苗中使用的新冠病毒刺突蛋白有關。,過去研究發現長新冠症狀可能影響性功能，也有民眾表示施打COVID-19疫苗後產生與生殖器官相關的副作用。根據《Nature》期刊25日報導，挪威公共衛生研究所的團隊指出，無月經女性在接種疫苗後，發生陰道意外出血的可能性較未接種前高出數倍。研究團隊觀察挪威2萬1千多名已停經或接近停經女性接種疫苗後的狀況，包括長期服用荷爾蒙避孕藥的女性，發現約1成受試者回報曾出現意外的陰道出血，其中約有半數人表示，出血發生在第1劑和第2劑疫苗接種後的4週內。研究指出，停經前和圍絕經期（臨床症狀接近停經時至停經後一年）女性，在接種後的1個月內意外出血風險最高，是接種前的3到5倍；停經後婦女的意外出血風險則增加2到3倍。研究團隊認為，這可能與疫苗中使用的新冠病毒刺突蛋白有關。挪威使用的是莫德納和輝瑞生產的mRNA疫苗、AZ等疫苗；歐洲藥品管理局2022年10月也曾公布，mRNA疫苗的副作用包括月經大量出血。研究團隊學者布利克斯（Kristine Blix）表示，這份研究最重要的貢獻就是，未來在新疫苗的臨床試驗甚至在藥物試驗時，女性的陰道出血情形將被監測並納入考慮。停經後意外出血的症狀，在醫學診斷上通常被視為子宮內膜癌的徵兆。伊利諾大學香檳分校的生物暨人類學家克蘭西（Kate Clancy）認為，即使接種COVID-19疫苗後陰道出血的原因仍不明，但若這是已知的副作用，醫師可以在評估患者病情時，考慮到患者的疫苗接種狀況，以免誤診。
秋冬新冠流感與RSV恐三疫齊發 BA.2.86免疫逃脫力更高,2023-09-01,時序即將進入秋冬，美國本土已經出現新一波的新冠確診潮，專家憂心疫情結合流感，呼吸道融合病毒RSV，將重演去年冬天三疫齊發的窘況。另外近期發現的BA.2.86新變異株，免疫逃脫力強，對確診過或打過疫苗的人，都有更高的感染力，因此各國也不敢掉以輕心。,隨著夏季接近尾聲，美國各地新冠病毒確診人數再出現一波上升趨勢，急診室的病例明顯增加。紐約長島猶太醫療中心急診科副主任戴維斯表示，「很多因為不相關疾病來就診的患者都被發現感染了新冠病毒。我們之前的確診率平均約2%到4%，剛過去這個禮拜上升到12%。」紐約市7月初全市平均每週新增250例病例，到了8月三級跳，增加到750例，專家預計秋冬天氣變冷，社區傳播規模還會擴大。美國疾病管制中心CDC預計9月底10月初，批准新版單價疫苗，針對2023年主流的XBB.1.5變異株進行防禦，跟目前市面上的次世代雙價疫苗相當不同，呼籲民眾踴躍接種，不過專家認為速度還要加快。紐約市立大學公衛所流行病學教授納許指出，「特別是老年人或較衰弱的人，需要及時接種最新的疫苗。我們確實有一種新的單價疫苗，更能針對目前主流的變種株，可惜還未上市，但應該已經要問世。現在正是最需要的時候。」不僅如此，一種Omicron的新變異株BA.2.86也開始擴散，目前至少已經出現在六個國家，世衛組織表示，它在關鍵部分有超過35個突變，跟先前主流病毒株很不相同，目前病例還不多，尚未列入WHO高關注變異株，但需要密切監測變化。美國CDC的風險評估指出，它對於已經確診過或打過疫苗的人，也具有更高的感染力，會不會變成新的大魔王還需觀察。世衛組織流行病學專家范克爾霍夫表示，「BA.2.86的棘蛋白有30多個突變，如此大量的變異應進行更密切監測。我們已在丹麥、以色列、英國、美國、南非發現了BA.2.86，並在瑞士和泰國的廢水採樣中也發現了BA.2.86的跡證。」紐約長島猶太醫療中心急診科副主任戴維斯認為，「雖然它可能逃脫過去打疫苗或確診新冠病毒所得到的免疫防禦，但大多數感染者出現的症狀比最初的菌株要溫和，所以希望即使出現這種突變，也不會造成過去那麼多的住院或死亡。」當前主流XBB變異株的另一個新分支EG.5，今年五月以來也在國際間快速增長，已經出現在至少52個國家地區，現在是中國的主要病毒株，不過因為EG.5跟XBB差異不算太大，今年以來建立的群體免疫對它仍然有效。中國這禮拜也取消了最後一項防疫規定。中國外交部發言人汪文斌表示：「8月30日起，來華人員無需進行，入境前新冠病毒核酸(PCR)或抗原檢測(快篩)。」北京此舉有利於促進國際商務與觀光旅行，本月稍早也恢復旅行社對於78個國家的出團業務，不少旅客已經開始安排十一長假旅遊。不過對於疫情仍然不可掉以輕心，專家預測去年秋冬橫掃各國的新冠，流感，與呼吸道融合病毒RSV三重大流行的狀況，仍然可能捲土重來，屆時將對醫療體系帶來巨大壓力。美國印第安納大學公衛學院教授杜辛斯基指出，「新冠病例和住院人數已開始增加，RSV與流感季節通常從9月開始可能持續到來年5月，這三者都存在住院、加護病房甚至死亡的嚴重風險，特別是有免疫系統問題的人。」今年秋冬想避免三重疫情上身，長保安康，過去奉行的衛生原則要繼續維持，勤用肥皂洗手，洗後擦乾，室內密集空間記得戴上口罩，並且接種疫苗加強保護，尤其是年長及三高等風險族群，一旦確診要盡快接受治療。美國印第安納大學公衛學院教授杜辛斯基提醒，「史上首次這三種流行病都有疫苗，但你需要儘早接種，身體需要時間來培養免疫力。」
新冠疫情升溫 英防BA.2.86秋季疫苗9/11開打,2023-09-01,全球新冠疫情出現升溫跡象，美國各地的陽性率近期大幅提高3到4倍；為了預防疫情再起，英國秋季疫苗施打計畫提前到9月11日開打，以預防BA.2.86的新變異株。,街道上人潮洶湧，戴著口罩的人已經是少數，不過新冠疫情卻悄悄升溫；隨著夏季接近尾聲，天氣漸漸轉涼，近期各地新冠確診人數都呈現上升，紐約衛生部門數據顯示，從7月每週約250例，8月上升到750例。長島猶太醫療中心急診科副主任戴維斯表示，「過去幾週，我們確實看到新冠感染人數上升，許多非相關疾病患者發現確診新冠，新冠陽性率從2％至4％，上週提升到12％左右。」醫師指出，有別於過去中重症患者，現在的確診病例大多只有輕微症狀，甚至無症狀，卻檢測出陽性反應。流行病學家表示，已在至少8個國家出現病例的最新變異株BA.2.86，可能從人體免疫力逃脫，增加傳播的可能性；人們行為發生變化，也助長新冠病毒傳播。紐約市立大學流行病學教授納許認為，「主要原因還是行為，現在人們做事更加開放，恢復正常活動。而且我認為，熱浪使情況變得更加複雜，熱浪讓更多人待在室內，保護自己免受極端天氣影響。」為預防疫情再起，美國CDC預計將在9月底至10月初之間，批准一款新的加強針。英國原定10月初展開秋季疫苗施打計畫，將提早展開，英格蘭9月11日率先開打，以因應新變異株BA.2.86，高風險族群和第一線醫護人員將優先施打，政府也建議民眾盡可能同時施打新冠和流感疫苗。英國一項針對1800多位新冠患者的研究，發現大腦和肺部血栓可能是長新冠的原因，從而引發腦霧、疲勞等症狀，有些人甚至距離感染新冠已經3年，長新冠仍然未見改善。
長新冠作祟須留意心血管病 女性得病率遠高男性,2023-08-18,美國的臨床研究發現，疫情爆發初期感染新冠病毒痊癒的人，1年之內有可能出現心血管疾病的病徵。當地長新冠門診的治療方法，是開立擴張血管以及穩定人體戰鬥或逃跑反應的藥物。另一方面，英國的研究發現，即使沒有罹患糖尿病，但血糖數值逼近臨界點，罹患心臟病的風險也將會走高，其中女性的危險係數更是遠高於男性。,在密西根州聖路易市擔任消防員有20年經驗的麥可凱米勒瑞，搬個重物上下樓梯原本就是輕而易舉的事，但2020年底感染新冠病毒之後，卻出現呼吸急促、心跳加快、血壓急速上升，以及一連串劇烈胸痛等毛病。今（2023）年春天他二度染疫，病徵變得更加惡化，嚴重到讓他的體力無法負荷消防工作，只好掛冠求去。凱米勒瑞指出，「這幾乎拘限生活所有事，從身體到心理，應對焦慮沮喪又胸痛、呼吸不順暢，光是倦怠感就讓我甚麼都不想做；有時我甚至根本不想起床，但我知道我必須起來。」試了好幾家醫院也看不同的醫生，都沒有什麼療效之後，凱米勒瑞轉向華盛頓大學長新冠門診求助，確定是染疫後的血流異常所造成的，估計全美每100個染疫過的人，一年之內有4人出現心臟方面的病癥。華盛頓大學臨床流行病學家艾爾阿里博士分析，「那些病徵對有些人是永久性的，也對我們產生廣泛影響。受影響的不光是這些患者，更有他們的家人；放大來看，健康系統還有社會世世代代都廣泛受到影響。」人起身四處活動時血流量會增加，休息時血流量會減少。但某些長新冠患者的戰鬥或逃跑反應系統，也就是控制壓力的神經與腺體，休息時也是維持在活躍狀態，如此一來，當他們再次動起來時就沒有足夠的血流量。甚至有些人的小血管內壁無法正常擴張、伸縮讓血液通過。治療方法是開立擴張血管，以及穩定人體戰鬥或逃跑反應的心臟病用藥。醫生建議既然無法改變染疫病史，那就要降低心臟病的危險因子，例如高膽固醇、高血壓、糖尿病控制不當以及抽菸。另一方面，英國倫敦衛生與熱帶醫學院公共健康的研究人員，從生物銀行2006年到2010年間的資料庫，檢視42萬人的醫療紀錄，分析血糖數值與心臟病之間的關聯性。結果發現即使沒有糖尿病史，血糖數值在臨界點以下的，罹患心臟病的風險也將走高，其中女性的危險係數更是遠高於男性。倫敦衛生與熱帶醫學院倫斯切表示，「男性罹患心臟病的風險高出30%至50%，那是指糖尿病前期中等程度的30%，一直到糖尿病水平的數值。數值在女性則是從50%到100%，從糖尿病前期的血糖水平，一直到糖尿病的水平。」研究人員的焦點鎖定在糖化血紅素，也就是黏附在紅血球的糖分數值，身體如果無法妥善的消耗糖分，就會堆積在這類細胞裡。至於血糖與心臟病之間的風險，兩性之所以存有如此大的差距，研究人員認為關鍵在於體脂、身體質量指數和腰臀比，女性要比男性較少服用降血脂和降高血壓的預防藥物。
新變異株EG.5竄50餘國 WHO建議各國勿取消新冠監控,2023-08-15,新冠 Omicron 病毒株，又有新的亞型變異株「EG.5」，已經在50多國現蹤，而且佔美國新病例17％以上，美國、歐亞等多國，感染和住院人數都呈現上升趨勢。世界衛生組織（WHO）建議各國，先別取消對新冠病毒的監控，才能加速應對未來的新興流行病。,觀光景點人潮洶湧，隨著新冠疫情受到控制，各國陸續鬆綁防疫措施，國際旅遊也逐漸恢復，人們生活回歸常軌。不過世界衛生組織發現，Omicron病毒株又有新的亞型變異株「EG.5」，跟XBB變異株很類似，對抗人體抗體的能力比較強。世衛組織流行病學家范科霍芙指出，「針對EG.5，我們發現病例增長，這表示傳播力跟免疫逃脫增加，更容易傳播、讓人們受到感染，我們已經在監測它，由於增長加快，自7月以來，此變種持續受到監測，我們在越來越多國家檢測到它，預估可能成為一些國家的主流。」WHO 將EG.5變異株暱稱為「艾里斯」，並歸類在「需留意變異株」，因為突變可能使它更具傳染性或嚴重性。截至目前為止，這個變異株已在超過50國現蹤，WHO 呼籲各國，暫緩取消對新冠病毒的監控，以加速應對未來的新興流行病。至於南半球的紐西蘭，曾經是全球防疫規範最嚴格的國家，在實施3年多後，15日正式畫下句點，取消剩餘的防疫措施。紐西蘭總理希普金斯表示，「這對國家，當然對世界來說，是既獨特又充滿挑戰的時期，宣告正式終結，將各國防疫措施施加在我們身上，過去這段期間是個非常有意思又充滿挑戰的時刻。」隨著疫苗接種率高，大多數的防疫措施去（2022）年已陸續取消，醫院在冬天有沒有出現負荷過重的問題。民眾接下來到醫療機構，不必再戴口罩，感染新冠病毒也不用隔離7天，但衛生部門仍建議染疫者，待在家中休養5天。
九合一大選禁確診者投票 監委促中選會及衛福部檢討,2023-07-26,去（2022）年九合一大選，中選會依疫情指揮中心防疫指引，不開放確診民眾到場投票，引發違憲疑慮。今（26）日監察委員公布調查報告，認為相關決策沒有完全符合「最小侵害手段」與「比例原則」，導致約6萬人的投票權受到影響，促請中選會及衛福部檢討改進。,2022年九合一大選時，中選會及疫情指揮中心拍板決定，新冠肺炎確診者不得外出投票，引發違憲疑慮，監察院也因此展開調查。監察委員26日公布調查報告，認為相關決策沒有完全符合「最小侵害手段」及「比例原則」，影響約6萬人的投票權，促請中選會及衛福部檢討改進。監察委員紀惠容表示，「他們一直說，這個是符合釋憲的原則，要限制這些確診者不能投票。但是這個不能直接來推論，因為他其實應該進行更細緻的比例跟原則，他沒有做到這一點。」監察委員指出，政府應在防疫與人民基本參政權之間權衡，找到最小衝擊的方式。像是針對確診者投票問題，中選會一度研擬4方案，甚至評估「延長投票時間」最為可行，也不涉及修法，但最後卻未採用，讓監委直言作為不夠積極；也呼籲衛福部與中選會，應針對未來可能發生的重大傳染病及早規畫有關措施，確保民眾的投票權益。監察委員葉大華批評，「你已經限制了這些確診者的行動自由，你又要剝奪他的參政權，這個真的要非常謹慎。所以該修法就要去修法，要盡可能地跟社會、跟國會做溝通。」疾管署副署長曾淑慧表示，「針對監察院提出之調查建議，本署表達尊重並感謝。COVID-19為極其罕見之全球流行性百年大疫，相關防治工作幾無前例可循，我國防疫指揮中心自2020年初成立以來，以嚴謹的科學與數據研究分析，滾動調整防疫政策，並持續改良防疫指引。」中選會則以聲明回應，對於選務的防疫措施，都是依法辦理，尊重監察院的調查意見。
總統蔡英文確診Covid-19 取消下午公開行程,2023-07-25,總統府表示，總統蔡英文在今（25）日上午行程結束之後，覺得身體不適，快篩後確診新冠肺炎，只有輕微症狀，並取消下午的公開行程。,總統蔡英文在上午臨時新增探視行程，但確診之後，醫療團隊建議取消原本在下午的台南、萬安演習視察，以及視導氣象局的行程。府方說明，總統感謝各界關心，會依循醫療團隊建議稍作休息，但相關的國政公務，還是會經由執政團隊密切掌握。
總統蔡英文確診Covid-19症狀輕微 公開行程全取消,2023-07-25,總統蔡英文今（25）日確診Covid-19，目前症狀輕微，已取消25日下午公開行程。中颱杜蘇芮預計下午2時30分發布陸警，蔡英文促請行政院長陳建仁落實防颱工作，其餘國政公務也將透過執政團隊掌握。,總統蔡英文今日上午9時半前往內湖三軍總醫院，探視昨日基隆祥豐營區爆炸受傷官兵，下午1時許，府方發布總統確診Covid-19訊息。總統府發言人林聿禪稍早證實，蔡英文結束上午行程後，中午略感不適，經Covid-19快篩後呈現陽性，症狀輕微，不過已取消下午視察台南萬安演習、傍晚至中央氣象局等公開行程。林聿禪表示，總統健康由醫療團隊妥善照顧中，她認為台灣疫情已趨於穩定，並有專業防疫指引，因此非常安心，相關公務將透過執政團隊密切掌握。蔡英文強調，中颱杜蘇芮即將到來，她已促請行政院長陳建仁及行政團隊，與地方政府密切合作，務必落實各項防颱工作，也提醒國人做好防颱準備。
確診COVID-19為何無症狀？ 美研究：有特定基因變異者未發病機率高8倍,2023-07-20,真的有「天選之人」。美國一項研究指出，體內有特定基因變異者，確診COVID-19但無發病的機率比別人高8倍，這和人體內的人類白細胞抗原（HLA）有關，也希望在未來能有新的疫苗或治療方法。,美國一項新的研究發現，體內有特定變異基因者，確診COVID-19但未發病的機率，確實比其他人高。《華盛頓郵報》報導，此有助於科學家開發新的疫苗和治療方法。研究指出，之前的COVID-19確診者有平均約20%無症狀，被科學家認為他們可能是因有更快的免疫反應，可以在症狀出現之前對抗病毒。為了更了解原因，研究人員將目光轉向在人體內免疫系統發揮關鍵作用的——人類白細胞抗原（HLA）基因，能識別和對抗病原體。由加州大學舊金山分校神經與流行病學系教授Jill Hollenbach帶領的團隊，在科學期刊《自然》發表研究，召募2萬9947名已有高質量遺傳數據可用的自願骨髓捐贈者，要求他們每天用智慧手機追踪病情及症狀，包括流鼻涕、喉嚨發癢、發燒或發冷。受試者也要紀錄每週有無快篩、每月是否住院。在為期9個月的研究期間，有1428名未接種疫苗的人通報驗出病毒陽性，其中136名無任何症狀。20%的無症狀者體內有名為「HLA-B*15:01」的常見 HLA 變異，若因為父母雙方都有「HLA-B*15:01」並且獲得遺傳，擁有雙份「HLA-B*15:01」者，無症狀機率比無變異者高8倍。研究人員發現這些人體內的「T細胞」，遇到COVID-19病毒時會對以往遇過冠狀病毒共有的蛋白質產生反應，已經預先產生了存在的免疫力。他們的T細胞遇到COVID-19病毒時會啟動作戰，能記起過去抵禦過類似病毒的記憶。但《華盛頓郵報》也提及，這項研究的參與者都是白人，有81%的人是或自認為女性，樣本群體具高度同質化。
