報導標題,報導日期,報導大意,報導內文
以哈戰爭／與哈瑪斯合作國際組織 媒體披露以國擬分段逐出加薩,2023-12-30,以色列與哈瑪斯的武裝衝突，在30日進入第85天。目前除了以軍從北東南三面包夾加薩中部，由哈瑪斯掌控的難民營，也持續砲轟加薩全境各處哈瑪斯據點。另外，根據以色列《第12頻道》披露的消息，以國政府由外交部主導，準備分3階段把「聯合國巴勒斯坦難民救濟處」，以及與哈瑪斯合作的國際組織逐出加薩。,這是以色列軍方最新公佈的影片，顯示加薩地區複雜的地道網路。除了有混凝土結構支撐，可容成年人行走的通道，還有深入地下更深層的升降梯設備。以色列國防軍第14獨立旅指揮官艾爾科比指出，「我們發現哈瑪斯非常重要的地道網，非常深入地下，比以往發現的更深。這個地道相當不同，他有升降梯跟很長的直立井。」以軍在勘察並安裝炸藥之後，隨即引爆摧毀這片隱藏在住宅區下方的軍事地道。除了往南攻打加薩，以軍也在北部遭到黎巴嫩真主黨火箭攻擊後，空襲了真主黨的軍事據點。以軍並揚言，如果北部持續遭到攻擊，將對真主黨發動全面攻勢。至於在外交斡旋方面，根據外電報導，哈瑪斯先前放話要求以軍先永久停止軍事行動，再談釋放人質。不過又有最新消息指出，哈瑪斯原則同意恢復釋放人質的相關談判。另外，以色列《第12頻道》電視台，揭露以國外交部的機密報告，顯示以色列政府打算分3個階段，逐步減少「聯合國巴勒斯坦難民救濟處」在加薩的活動，最終目標是把與哈瑪斯合作的相關機構，完全逐出加薩，未來由以色列能接受的新機構取而代之。
以哈戰爭／衝突逾2月為自保 以申請槍枝執照案近27萬筆,2023-12-29,以哈衝突促使以色列國內民眾，購買槍械自保的數量急速攀升。光是最近2個月申請槍枝執照的案子就超過26萬5千件，是2022年一整年的6倍。,這是以色列一家槍枝店鋪附設的靶場，來上課練習射擊的男男女女絡繹不絕。業者指出，即使曾經發生擁槍民眾因自衛開槍，但最終卻遭警方誤認而被擊斃的事件，上門買槍的人數在恐怖攻擊之後的2個月大幅增加。槍店老闆伊福拉許表示，「銷售量自10月7日之後大大增加。比哈瑪斯突襲事件之前增加上千倍。非常瘋狂的增加。平民也開始買槍了。有槍就能保護自己，沒有槍什麼也做不了。」根據以色列有關槍枝管制的法令，除了必須達到法定年齡、醫師證明身心健康之外，民眾能持有的槍枝種類也有限制。例如個人防身需求要經過政府核准，無論長槍或手槍都要特別申請執照。至於像軍方使用的這些半自動或全自動武器，則是完全禁止。外電引述的政府統計顯示，從2023年10月7日至12月初，民眾申請槍械執照的案子超過26萬5000件，是2022年全年的6倍，也遠多於10月7日之前累積的3萬6000件。而核發的執照在恐攻後2個月期間約8萬5000件，比起2021與2022年各有1萬多件，不可同日而語。槍店老闆伊福拉許指出，「人們開始了解必須擁槍自衛，直到警方或軍方來支援或是撐到任何有槍的安全人員來幫忙。」當然，槍枝也是商品，需求突然暴增，價格自然水漲船高。目前的行情比起這波加薩戰爭前，整整高出1倍，這也引起以色列經濟部的注意。以色列法律禁止在緊急狀況下，商人囤積哄抬價格，政府除了課以罰款也可以設定固定價格避免漲價。
以哈戰爭／以色列再轟難民營 加薩死亡人數破2.1萬人,2023-12-29,以色列戰車28日開進加薩中部城鎮，並對加薩南部實施空襲，巴勒斯坦衛生部證實，過去24小時有210人喪生。以哈衝突至今，巴勒斯坦死亡人數已突破2萬1000人，幾乎是總人口的1%。,搜救人員拚命挖掘，將瓦礫堆下還存有一絲氣息的小女嬰成功救出，邊抱著她邊用跑的衝向醫院。只是，這裡盡力救人，外頭的死亡不斷發生。巴勒斯坦婦女說：「我的母親，這是誰？」以色列坦克28日開進加薩走廊中部布賴吉、轟炸南部主要城市汗尤尼斯市中心一家醫院；南部與埃及接壤的邊境重鎮拉法有數十人因空襲死傷。以色列國防軍發言人哈加里表示，「其中一處為布賴吉，是中部地區的難民營，我們在此進行第3天的攻擊，殺死許多恐怖分子。」巴勒斯坦衛生部門表示，過去24小時內有210人在以色列的襲擊中喪生，以哈衝突以來，死亡人數超過2.1萬人，幾乎是加薩人口的1%。被埋在廢墟底下或失蹤的恐怕還有數千人。而就算美國早已公開呼籲以色列打準一點、縮減對加薩地面進攻範圍，但以軍從耶誕節前施展的火力只有升級。哈瑪斯亦釋出在布賴吉的戰鬥影片，讓外界知道以色列也遭受攻擊並有人傷亡。以方報告，目前累計169士兵陣亡。過去一週為衝突以來傷亡最慘重。哈瑪斯發言人哈姆丹表示，「我們對任何完全以及明確停止，對我們在加薩走廊百姓的侵略之想法或建議，均持開放態度。」以色列在救出人質進度方面幾乎沒有動靜，以色列政府發言人28日表示，11月底的停火協議有110人獲釋，另有23人已宣布毫無音訊死亡。埃及持續居中斡旋，上週還與哈瑪斯領導人見面，提出3階段停火計畫，但雙方未予回應。
以哈戰爭／以國陷多線戰爭 防長證實遭7地區攻擊,2023-12-27,以哈衝突已進入第11個星期，戰事除了集中在加薩走廊外，週邊國家也陸續捲入其中。以色列國防部長26日指出，以色列目前陷入多線戰爭，同時遭到來自7個地區的攻擊，當中包括聲援巴勒斯坦的葉門。而葉門反抗軍青年運動26日又攻擊了1艘行經紅海的貨輪。,以哈衝突已進入第11個星期，戰事除了集中在加薩走廊外，週邊國家也陸續捲入其中。以色列國防部長26日指出，以色列目前陷入多線戰爭，同時遭到來自7個地區的攻擊，當中包括聲援巴勒斯坦的葉門。而葉門反抗軍青年運動26日又攻擊了1艘行經紅海的貨輪。以色列針對加薩走廊的軍事行動持續進入第11個星期，隨著牽涉國家擴大，中東局勢也亮起升溫警訊。以色列國防部長26日指出，以色列正陷入多線戰爭，同時遭到來自加薩、黎巴嫩、敘利亞、約旦河西岸、伊拉克、葉門跟伊朗等7個地區的攻擊，並暗示可能對整個中東地區展開軍事行動。以色列國防部長葛朗特表示，「我們已經針對7個地區的威脅做出回應跟行動，我在這用最明確的話來說，任何對以色列的攻擊都是潛在目標，沒有任何人能倖免。」以哈衝突10月7日爆發後，伊朗在中東各地扶持的武裝團體紛紛攻擊以色列與英美盟軍的區域軍事目標，當中包括伊朗支持的葉門反抗軍青年運動，持續針對行經紅海跟以色列有關的貨輪發動攻擊，引發紅海危機，牽動全球物價上漲，更讓加薩危機不再只是區域衝突。青年運動26日再度攻擊一艘地中海航運公司MSC旗下的貨輪，所幸沒有人員傷亡，青年運動也宣稱攻擊了以色列的南部城市艾拉特，而美軍跟以國軍方26日也表示，擊落多架來自葉門的無人機，以軍更指控這是來自伊朗的恐怖主義。以色列國防軍發言人哈加里說道，「攻擊在海上跟以色列無關的船隻，就是由青年運動所貫徹的伊朗恐怖主義，這是全世界的問題。」以色列政府一再強調，要徹底殲滅哈瑪斯至少還要好幾個月，美國資深官員26日會見以國總理納坦雅胡的親信，討論讓以哈衝突進入新階段，更精準打擊更具價值的哈瑪斯目標來降低民眾死傷，並增加人道援助，《CNN》分析指出，白宮擔心一旦衝突持續向外擴大，讓美軍捲入其中甚至造成死傷，將對美國總統拜登明（2024）年11月的大選連任極為不利。
以哈戰爭／納坦雅胡稱需更多時間救人質 以襲敘利亞炸死伊朗高級將領,2023-12-26,以色列總理納坦雅胡在國會發表演說，表示需要更多時間來救回人質，結果遭到人質家屬狂噓。另外，以色列空襲敘利亞首都大馬士革郊區，炸死伊朗革命衛隊駐守當地的高級將領，德黑蘭矢言報復，讓中東緊張情勢再添變數。,以色列總理納坦雅胡在當地時間25日，在國會發表演說，表示救回人質需要更多時間。才剛說出口，就遭到在旁聽席的人質家屬一片噓聲，這些喝倒采的家屬中，有些人還手持標語質問納坦雅胡：「若人質是你父親、女兒、或是兄弟呢？」納坦雅胡說：「我想告訴你們，議會的所有成員和親愛的家人們，如果沒有軍事壓力，不可能成功將超過百名人質救回來。」以色列認為，目前還有129名人質被關在加薩走廊，納坦雅胡稍早走訪加薩走廊時，強調以色列將進一步加強在當地的攻勢。他還說這將是一場漫長的戰爭，現在還沒接近終點。以色列在平安夜也沒停止對加薩的空襲，加薩衛生官員表示，又造成100多人死亡。另一方面，伊朗軍方表示，伊朗革命衛隊高級將領莫薩維，在敘利亞大馬士革郊區，被以色列空襲行動發射的飛彈炸死。伊朗說，莫薩維是負責海外行動的聖城部隊中最有經驗的顧問之一，揚言以色列將對此付出代價。伊朗駐敘利亞大使阿克巴利指出，「今天發生的事情，是猶太復國主義政權所發動卑劣的恐怖襲擊。」以色列軍隊發言人哈加里則在25日晚間表示，他不會發表評論，但是以色列軍方顯然有責任保護以色列的安全利益。
以哈戰爭／赴巴勒斯坦救援見證艱困 日少女出繪本促停戰,2023-12-25,日本有位16歲的高中生，在今（2023）年3月走訪巴勒斯坦，協助NPO法人進行人道救援後，回國則與出版社合作出版相關繪本，期望讓更多人了解衝突背後的兩國情結，為促進停止紛爭盡一份心力。,「那麼，巴勒斯坦是一個什麼樣的地方呢？」站在講台上、配合著投影畫面，日本高一學生淺沼貴子解說以色列與巴勒斯坦的關係。今年16歲的淺沼貴子是日本NPO法人的成員之一，今年3月隨著團體前往巴勒斯坦協助人道救援活動。原本對以色列跟巴勒斯坦關係完全不了解的她，因為過往讀到激進武裝組織的犯罪歷史，一直對伊斯蘭教徒跟巴勒斯坦人帶著負面的印象。但她在當地生活5天後，從街上到處都是擁槍的民眾，以及分隔以色列跟加薩的高牆，親眼目睹巴勒斯坦人在自由遭到剝奪下的生活狀況，並改變原有的刻板印象。日本高一學生兼作家淺沼貴子說：「聽到她們說無法分配到藥物，女子懷孕後10個月內都無法到醫院檢查，深刻感受到這道分隔牆，並不是只是佇立在那裡而已，而是跟人命息息相關，也很可能是奪走人命的一道牆。」此外，她也參觀了耶路撒冷的「猶太大屠殺博物館」，逐漸了解兩國歷史上的恩怨情仇，深深受到震撼，也對目前所發生的以哈戰爭有更深一層了解。為了讓更多日本人了解以巴關係，她和出版社合作出版了繪本，並且積極向同齡人傳遞相關訊息，期望結合學生的力量，在促進停止紛爭上盡一份心力。淺沼貴子表示，「或許有很多人都會想這是跟日本無關的問題吧，但這是與生活息息相關的事，希望讓人知道了解也理解。」
以哈戰爭／加薩中部平安夜再遭空襲 方濟各強調戰爭終將徒勞無功,2023-12-25,昨（24）日是平安夜，不過以哈衝突持續發生流血事件，以色列對加薩中部發動空襲，結果造成至少78人死亡。以色列總理納坦雅胡（Benjamin Netanyahu）表示軍事行動將持續，不受美國或外部施壓控制。天主教宗方濟各（Pope Francis）則在主持平安夜子夜彌撒時，強調戰爭終將徒勞無功。,擔架推著滿身是血的患者進入醫院，許多傷患身上粉塵混著血跡，等待接受治療。加薩中部一處難民營，在24日耶誕夜這天遭到以色列空襲，巴勒斯坦衛生部表示造成嚴重死傷。加薩無家可歸民眾圖魯克瑪尼說道，「這是針對平民攻擊，我們都是目標。沒有安全的地方，我們無家可歸，他們要我們去加薩中部，我們來到中部，結果中部卻在受難。」從10月初以哈衝突爆發至今，已有超過2萬名巴勒斯坦人死亡，230萬人幾乎全部面臨無家可歸。約旦河西岸以色列佔領的伯利恆，原本該擠滿遊客，但今（2023）年卻幾乎空無一人。耶誕活動被取消，取而代之是被瓦礫和鐵絲網包圍的新生耶穌，以及藝術家製作的裝置藝術，展示放在保溫箱中的耶穌聖嬰。不過以色列總理納坦雅胡表示，軍事行動將持續到戰勝哈瑪斯為止，且不受外部施壓控制，「我看到一些虛假的刊物，稱美國在阻止我們於該地區行動，這不是事實，以色列是主權國家，我們在戰爭中的決定是基於行動考量，我不會詳細說明，但它們不是外部施壓所決定。」以色列國防軍24日表示，對約200個加薩目標進行攻擊，不過也折損15名士兵。軍方還公布1段影片，揭露在哈瑪斯地道網路尋獲5名以色列人質遺體。戰火未見降溫，天主教宗方濟各今年平安夜的子夜彌撒，強調戰爭終將徒勞無功。方濟各表示，「今晚我們心在伯利恆，和平之子再次被徒勞無功的戰爭邏輯和武裝衝突拒於門外，即使在今天，武裝衝突都讓祂在世上沒有容身之處。」平安夜這天，教宗心心念念著戰火下的兄弟姐妹，方濟各表示，他們和蒙受戰禍的兄弟姐妹同在，他們的心思在巴勒斯坦、在以色列，也在烏克蘭。
以色列附屬油輪印度遭襲 首次紅海外遭攻擊,2023-12-24,"以哈衝突影響海運，由伊朗支持的葉門叛軍「青年運動」，23日又以4架無人機，朝在紅海的外籍油輪進行攻擊，遭到美國驅逐艦「拉布恩號」擊落。同一天的印度西部海域也有掛賴比瑞亞國旗的以色列附屬油輪遭到無人機攻擊，這也是第一次有其他海域的以色列相關船隻，在紅海海域外遭到攻擊。
",貨船穿過蘇伊士運河，在紅海上航行。以哈衝突嚴重影響海運，儘管各國海運公司已經減少必須經過紅海的運輸路線，但23日由伊朗支持的葉門叛軍「青年運動」，又用4架無人機朝在紅海南部海域2艘油輪進行攻擊，最後被巡邏中的美國海軍驅逐艦「拉布恩號」擊落。受到攻擊的油輪，一艘懸掛挪威國旗，差點被無人機擊中；另一艘掛印度國旗的油輪則是被無人機擊中，所幸沒有人員傷亡。同一天在印度西部古加拉特邦的韋拉瓦爾約200公里遠的海域，也有懸掛「賴比瑞亞」國旗的油輪，因為是以色列附屬油輪，載運原油從沙烏地阿拉伯開往印度時遭受攻擊。儘管船體受損起火、部份進水，但火勢很快撲滅，沒有人員傷亡。美國分析過去「青年運動」對紅海船隻，進行的無人機、飛彈攻擊與戰術情資等，疑似都有支持「青年運動」的伊朗參與，卻第一次有以色列相關船隻，在紅海以外的海域遭受攻擊，認為這次在印度海域的油輪遭受的攻擊，是來自伊朗發射的自殺無人機，但伊朗政府否認參與任何攻擊船隻的行動。伊朗外交部長阿不都拉希揚（Hossein Amir-Abdollahian）表示，「我們坦白告訴美國，青年運動是根據自己的立場做出的攻擊決定。我們從來沒有命令他們做什麼，也不會命令他們停止行動。」目前印度海軍已經出動一架軍機，確保船隻跟船員安全，也派出軍艦提供油輪援助，預計會在海上停留維修後，由印度海軍護送到「門格洛爾港」。
以哈戰爭／紐約民眾耶誕節心繫烽火 第5大道抗議籲停火,2023-12-24,"今（24）日平安夜，全球都有許多慶祝耶誕節到來的活動。不過在捷克，有許多民眾共同哀悼近日發生的校園槍擊案；紐約第五大道也有人跳出來抗議，呼籲以色列對加薩走廊停火。
",「一、二、三，耶誕老人！」眾所期盼下，和藹的耶誕老公公現身，讓孩子們超開心。耶誕老人向孩子們說著耶誕節的重要性，也回應時事，認為孩子們的福祉永遠都要放在最前面。現在世界各地許多兒童生活在危險的環境下，耶誕老人呼籲世界應該要盡一切可能，讓孩子們有安全感，「今年又是風雨飄搖的一年，我的另一個願望是世界各地的人們能夠和平相處。」搭著雪白的馴鹿，準備從北極圈出發祈願世界和平；而在地球另一端的巴西，耶誕老人揹著氣瓶潛入水底，開心和魚群共游。業者拉斐爾說道，「在這個聖誕節，我們為遊客準備了一份禮物，那就是水肺聖誕老人的明亮身影。」法國動物園則幫熊貓和猩猩，準備了裝有零食的禮物盒慶祝耶誕節，讓他們在特別的日子大快朵頤。這些禮物是動物園計畫的一部分，要在日常生活中創造變化，激發動物們的好奇心和認知能力。不過鏡頭轉到捷克，今（2023）年耶誕節氣氛截然不同。當鐘聲響起，所有人在雨中默哀，全國也降半旗哀悼，21日布拉格一所大學爆發大規模槍擊案，造成14人死亡、25人受傷，讓今年平安夜成了家屬一輩子心中的痛。民眾提及，「在公共場所，尤其是在公共交通中，當人們快速移動時，我感覺不像以前那麼安全了，我有點緊張 。」而在美國紐約，就算耶誕節到來，許多人也開心不起來，支持巴勒斯坦的民眾聚集在第五大道搖鈴抗議，「說清楚、大聲說出來，加薩，你讓我們感到驕傲。」加薩走廊因為以哈戰爭而死亡的人數已經突破2萬人，國際間不斷呼籲雙方坐下來談，避免再造成更大的傷亡。
以哈戰爭／聯合國安理會通過決議  對加薩擴大人道援助,2023-12-23,以加衝突持續，加劇了人道危機，聯合國安理會22日通過表決，對加薩地區擴大人道援助的決議。由於這次表決案內容，拿掉「要求以哈人道停火」的內容，因此美國跟俄羅斯都棄權投票，最後以13票通過決議案，讓各方可以「安全、不受阻礙地，大量提供人道主義援助」。,高舉著一隻手，美國跟俄羅斯駐聯合國大使，紛紛投票棄權，讓聯合國安理會12月份的主席，宣布通過決議。聯合國安理會12月輪值主席多明戈斯說：「投票結果如下， 13票贊成、0票反對、2票棄權，該決議草案已獲得通過，是為第2720號決議。」以加衝突持續，加劇了人道危機，根據「加薩衛生部」22日公布數據顯示，過去2個多月來，已經有超過2萬名加薩民眾，因為以軍攻擊死亡，還有5萬3千多人受傷。世界糧食計畫署的數據顯示，加薩民眾從衝突開始後，只能收到日常所需糧食的10%，因此有超過50萬人面臨「災難性飢荒」，挨餓程度直逼阿富汗與葉門。對此，聯合國安理會22日再次提出決議案，這次撇開「要求人道停火」的內容，針對「擴大且安全地，對加薩提供人道援助」進行表決，讓美、俄都選擇棄權，順利通過決議案。阿拉伯聯合大公國駐聯合國代表努賽貝赫表示，「我們知道這不是一個完美的內容，我們知道只有停火才能結束苦難，這就是為什麼我們12月8日星期五，在安理會上提交了決議，不幸的是它未能通過，12月12日，153個國家在聯合國大會上，呼籲要這樣做，但同樣地，並未因這項呼籲而實現停火。」由於這次決議案並未提到停火，聯合國各國代表依舊呼籲，要持續推進達成人道停火，甚至是永久停火的決議案。此外，以色列還決定，要擴大對加薩的地面攻擊，甚至呼籲國際社會，施壓武裝組織「哈瑪斯」，釋放人質，這也讓聯合國秘書長古提瑞斯批評以色列加大侵襲的行為，是在為人道救援製造巨大障礙。
