報導標題,報導日期,報導大意,報導內文
俄烏戰爭／烏國反攻襲擊俄西部城市 俄要求召開安理會反遭批濫權,2023-12-31,繼俄羅斯29日對烏克蘭發動大規模空擊後，烏軍30日攻擊俄國西部城市，造成21人死亡、至少110人受傷。俄國隨後要求聯合國安理會召開會議，卻遭西方國家批評是在濫用安理會。,俄羅斯官方消息指出，烏克蘭30日攻擊俄國西部邊境城市貝爾哥羅德，由於烏軍使用會造成大規模傷亡的集束炸彈，導致包括兒童在內嚴重死傷。俄羅斯稱這是開戰以來最致命的攻擊，揚言會對烏克蘭展開復仇。俄國駐聯合國代表團也向安理會要求召開會議。聯合國助理秘書長基艾瑞（Khaled Khiari）提及，「針對貝爾哥羅德市區多處的攻擊，導致民用基礎設施受損，包括地方政府辦公室和貝爾哥羅德大學醫學院。」俄羅斯駐聯合國大使涅班濟亞（Vasily Nebenzya）說道，「馬爾他代表今天說：『烏克蘭有權保護其公民。』我只想問，烏克蘭是否也有權故意無差別攻擊平民？」烏克蘭則表示，針對貝爾哥羅德的攻擊是對俄軍的回擊。俄羅斯29日空襲烏克蘭100多座城市和村莊，造成數10人死亡、超過百人受傷，而在安理會會議上，有些國家也支持烏克蘭的立場。法國駐聯合國大使黎維埃（Nicolas de Riviere）表示，「法國對常任理事國俄羅斯繼續濫用安理會的工作表示遺憾，烏克蘭完全遵守《聯合國憲章》來保衛自己。」英美兩國代表更指出，作為先發動這場衝突的俄國總統蒲亭（Vladimir Putin）才應該為俄軍傷亡負起責任。另一方面，在烏軍攻擊貝爾哥羅德後，烏國第2大城哈爾科夫就遭俄軍空襲，2枚飛彈分別擊中1間飯店和公寓，導致至少21人受傷。
俄烏戰爭／俄軍發動大規模空襲  烏克蘭至少31死逾150傷,2023-12-30,俄羅斯29日對烏克蘭發動雙方開戰以來，最大規模的空襲；俄羅斯對烏克蘭各大城市，發射158架無人機與飛彈，至少造成31人死亡、150多人受傷。鄰國波蘭軍方指出，一枚俄國飛彈進入波蘭領空，所幸並未擦槍走火。,空襲警報劃破夜空，隨後空中出現火光，烏克蘭首都基輔，29日遭到俄羅斯無人機與飛彈空襲；建築物被擊中後，冒出陣陣黑煙，空襲過後建築物損毀，路上車輛被碎片擊中，滿地都是碎石與雜物。基輔民眾瑪麗雅回憶說道，「清晨7點半我被可怕的聲音吵醒，太可怕，有飛彈在飛嗡嗡作響，有呼呼聲飛過，我不知道該怎麼辦，我想去避難所，我跑進浴室時，鏡子從牆上掉下來。」《CNN》報導指出，這是俄羅斯開戰以來，發動的最大規模空襲，造成大規模死傷；烏軍指出，俄羅斯動用158架無人機和飛彈，攻擊烏克蘭全國各大城市，從南到北無一倖免。哈爾科夫回報，發生20多起襲擊，至少3人死亡11人受傷；札波羅熱遭到10枚飛彈攻擊，4死10傷，敖德薩有學校被攻擊，當地3死22傷；第聶伯羅婦產科醫院遭到嚴重破壞，當地6死30傷；首都基輔傷亡最慘重，已知至少7死數10人受傷。就連西部城市利沃夫都遭到飛彈襲擊，接壤的北約國家波蘭，軍方指出一枚俄羅斯飛彈，疑似進入波蘭領空；這枚飛彈在波蘭境內的時間不到3分鐘，飛行約40公里後，回到烏克蘭境內，所幸並未擦槍走火。波蘭陸軍參謀長庫庫拉說：「這枚火箭實際上進入波蘭領土，我們派出戰機攔截它，並在必要時將其擊落，它在波蘭領空停留時間很短，它被我們摧毀前就離開領空。」至於烏克蘭總統澤倫斯基，突然現身前線戰況激烈的阿夫迪夫卡，發表談話過程還不時傳來爆炸聲。烏克蘭總統澤倫斯基疾呼，「烏克蘭在此捍衛全體人民，與前線的所有地方，頓內次克、哈爾科夫、札波羅熱、赫爾松與左岸，這很艱難，代表著痛苦和損失，正是這樣讓烏克蘭得以生存。」美國國會才剛批准拜登政府的援助資金請求，就發生這場猛攻，拜登再次呼籲國會，向烏克蘭提供額外援助，稱美國的防禦系統攔截許多俄國無人機和飛彈；歐盟則正在尋求利用不同機制，繼續向烏克蘭提供財政援助。 
烏克蘭切割俄羅斯 首度在12/25慶耶誕節,2023-12-26,西方國家無論戰爭與和平，25日紛紛度過了耶誕佳節，處於戰火中的巴勒斯坦民眾，祈求和平早日降臨。而同樣在戰爭狀態的烏克蘭，為了跟俄國切割，首度與西方國家一樣，度過12月25日的耶誕節。至於天主教教宗方濟各（Pope Francis）以及英國國王查爾斯三世（Charles III），都在耶誕節這天祈求世界和平。,高齡87歲的天主教教宗方濟各，25日耶誕節當天，在梵蒂岡的聖伯多祿廣場舉行彌撒，除了祝福教徒們耶誕快樂外，更呼籲巴勒斯坦問題能透過對話解決，以哈衝突儘快平息，「期盼高漲的暴力衝突與仇恨能夠劃下句點。」戰火下的加薩市，24日平安夜仍有教徒聚集在當地的教堂內祈求和平。而聖經中描述的耶穌誕生地，約旦河西岸的伯利恆，由於今（2023）年爆發以哈衝突，決定低調過耶誕，告慰死傷的巴勒斯坦同胞。25日耶誕節當天，巴勒斯坦藝術家拉娜，在馬槽廣場上擺放了她的作品，在保溫箱中的誕生耶穌，期盼戰火早日平息，和平降臨。巴勒斯坦藝術家拉娜表示，「我的訊息就是，停止戰爭，首先就是，現在就停止戰爭。」而持續處於戰火下的烏克蘭，今年7月總統澤倫斯基（Volodymyr Zelensky）簽署法案，將烏國官方的耶誕節從傳統東正教的1月7日調整為12月25日，凸顯與俄國切割的決心，前線的士兵25日接受牧師祈福，而基輔的民眾也紛紛前往教堂過節。烏克蘭民眾指出，「我非常高興能在12月25日過耶誕節，就跟全世界一樣。」歐洲的德國今年依舊保持傳統，柏林民眾在寒天中晨泳歡度耶誕；英國國王查爾斯三世今年的耶誕文告，呼籲各國民眾對國際衝突多一點同情心，祈求世界和平；美國佛州的民眾則是前往海邊衝浪過節；南半球的澳洲，雪梨的邦迪海灘擠滿歡度耶誕佳節的人潮；而西亞的伊朗，儘管是伊斯蘭國家，但首都德黑蘭依舊能感受到耶誕節的氣氛。
俄烏戰爭／以哈戰爭影響烏國軍援 烏軍卻爆高層貪瀆4千萬美元,2023-12-24,俄烏戰爭開打滿1年10個月，國際社會對烏克蘭的軍事援助，在以哈衝突發展下逐漸式微。烏克蘭總統澤倫斯基（Volodymyr Zelensky）走訪歐美國家，尋求持續獲得軍援時，卻又爆出烏克蘭國防部高層涉嫌挪用4000萬美元（約新台幣12.4億元）的國防經費，目前涉案官員已經被逮捕，進入調查程序。,戰車不斷開砲轟擊，俄烏戰爭開打已經滿1年10個月。雙方在23日互有攻勢，俄羅斯宣稱對烏克蘭發動多次攻擊，在烏東庫皮揚斯克跟札波羅熱等戰線擊落36架無人機、攔截6枚飛彈；而烏軍則表示在南部戰線擊落了3架俄羅斯蘇愷-34戰機。烏克蘭總統澤倫斯基說道，「我感謝我們的戰士，在南部赫爾松地區一次性摧毀了3架俄羅斯蘇愷戰機，這是我們的空軍和敖德薩防空飛彈旅的成果。」只是在以哈衝突發展下，幾乎快看不到國際社會對烏克蘭的軍事援助，讓澤倫斯基多次發言尋求歐美國家持續軍援，也奔走各國會談、尋求支援。只是在烏克蘭尋求國外軍事援助資金同時，內政卻爆出高層貪腐，挪用國防款項的醜聞。烏克蘭國家安全局（SBU）指出，國防部一名高層官員，去（2022）年12月和一家出口貿易公司簽署採購砲彈的合約，後來又改簽一份更加優惠的合約，因為大幅短交貨時間、降低產品成本，價差4000萬美元（約新台幣12.4億元）的經費被轉到一家外國公司的帳戶，疑似遭到官員私吞。烏國當局表示，目前已找到相關證據，並且逮捕這名國防部官員，一旦官員犯罪事實，這名官員會面臨最高15年有期徒刑，另外烏克蘭國防部也將採取相關措施將資金追回。
俄烏戰爭／烏擬再徵兵需4184億台幣 蒲亭：已準備展開對話,2023-12-20,烏克蘭總統澤倫斯基在年終記者會提到，軍方提議要再徵兵45萬到50萬人入伍，而動員這麼多人還需要約4184億元台幣。此外，俄羅斯總統蒲亭也說，只要烏克蘭、美國和歐洲點頭，俄羅斯已準備就烏克蘭未來展開對話。,烏克蘭總統澤倫斯基19日舉行年終記者會，他表示，軍方提議再徵兵45萬到50萬人入伍，顯示俄烏戰情可能再進入另1個階段。但澤倫斯基說，若動員這麼多人，還需要額外的5000億元荷林夫納，約4184億元台幣，而且這是1個高度敏感的議題，也需要聽到更多贊成動員的理由，因此軍方會先與政府討論，再決定是否把提案交送國會。烏克蘭總統澤倫斯基表示，「我知道很多人都跟我一樣，數百萬人都一樣，還沒有準備好放棄我們的國家。從第1天到最後1天都會是這樣。」烏克蘭起初有數萬人志願參戰衛國，但今（2023）年夏天展開的大反攻後，戰況不如預期，也越來越缺乏兵力，試圖徵召更多人入伍。社群平台上，有影片顯示烏克蘭的徵兵官員到度假村和運動場所等發送徵兵文件，讓一些民眾感到不滿。但俄烏雙方都將傷亡人數視為機密，烏克蘭究竟有多少人上戰場，其實並不清楚，但曾表示約有100萬人武裝對抗俄國，而俄羅斯則是持續徵兵，19日也表示計畫將部隊人數擴充到150萬人。俄羅斯總統蒲亭也說，只要烏克蘭、美國和歐洲點頭，俄羅斯已準備就烏克蘭未來展開對話，但同時也強調會捍衛國家利益。俄羅斯總統蒲亭指出，「我們不會放棄特別軍事行動的目標，評估現在前線的局勢，可以自信地說，我們的部隊擁有主動權。」蒲亭先前已經數度表示有意展開談判，不過大多的西方官員認為，蒲亭正等待明年11月的美國總統大選結果出爐，因為一旦共和黨執政，可能就翻轉拜登堅定援助烏克蘭的立場。
俄烏戰爭／蒲亭重申目標 美估俄軍死傷逾31萬人,2023-12-15,俄羅斯總統蒲亭14日舉行入侵烏克蘭以來首場年終馬拉松式記者會。他表示這場特殊軍事行動，前線總長超過2000公里、部署61萬7千名兵力；並稱直到烏克蘭去納粹化、去軍事化與維持中立地位的目標達成，才會有和平。,俄羅斯的主要電視頻道14日晚間全都直播「與蒲亭連線」的特別節目，去（2022）年節目因為基輔收復東部和南部大片領土而取消。而在戰事爆發近2年後，蒲亭可能感覺運氣又回來了。烏克蘭的最新攻勢未能突破俄國的堅強防線，加上西方盟友的支持也正在減弱。全長4個多小時精心策畫的馬拉松記者會，大部分集中在蒲亭所謂的特殊軍事行動。俄羅斯總統蒲亭說道，「讓我再說一遍，前線超過2000公里遠，作戰區有61萬7千兵力。」蒲亭表示直到烏克蘭去納粹化、去軍事化與維持中立地位的目標達成，才會有和平。俄羅斯總統蒲亭補充，「當我們達到你所提及的那些目標，屆時才會有和平，現在讓我們回到那些目標，他們沒有變，讓我提醒各位當時我們所討論的，烏克蘭的去納粹化、去軍事化、中立地位。」蒲亭沒有透露俄軍具體的傷亡數字，只表示他周圍親密人士的孩子在民間軍事公司工作，有好幾人喪生。而這個星期公布的美國機密情報報告，指有31萬5千名俄軍陣亡或是受傷，幾乎是軍事入侵開始時兵力的9成。而蒲亭還提到加薩走廊局勢，形容那是一場規模無法與烏克蘭衝突相比的災難。在談到經濟時，蒲亭表示儘管遭到西方的經濟制裁與政治孤立，俄國仍然可以向前邁進。還稱「強化」俄國主權是他入主克里姆林宮第5個任期的主要目標，這代表增強國家防衛能力和外部安全。俄烏戰爭開打後，國際間各種有關蒲亭重病、癱瘓、甚至是身亡的消息不斷，還有傳言他有替身。記者會就特別安排了蒲亭與AI版假蒲亭對話的場面，只見他貌似尷尬的摸了下巴，稱只有1個蒲亭，還說這是他第1次見到分身。
俄烏戰爭／俄通膨達7.5% 萬物皆漲蛋價漲4成,2023-12-15,俄羅斯總統蒲亭宣布投入明（2024）年3月的總統大選，爭取第5個任期，一路做到2030年。從俄羅斯入侵烏克蘭以來，西方國家的制裁無法有效打擊俄羅斯的能源輸出金脈，加上戰爭軍費開支暴增刺激經濟持續成長，但其實也出現過熱跡象，11月通膨達到7.5%，萬物皆漲，基本糧食雞蛋價格飆升4成，戰爭的痛苦代價還是由人民承受。,35歲的俄羅斯小鎮媽媽達雅上超市採買，剛生第2胎的她精打細算，因為物價高漲，老么用的尿布、嬰兒食品，甚至娃娃車都是上1胎的3倍價，現在全家已經不再出門吃館子，非必要的開銷能省則省。俄羅斯婦人達雅．斯特潘諾娃說道，「以前你去買菜，1000盧布可以買3至4天的食物；但現在只能買點日常所需，像是牛奶、優格、麵包等等，就沒了。」 首都莫斯科的超市裡，蛋價同比去（2022）年增加4成以上，近期幾乎每個禮拜都在變貴，讓主婦們驚呆。部分地區貨架全空，部分地區祭出了限購令。退休人士夏拉耶夫斯卡雅說道，「我嚇壞了，我不能接受，價格的變化簡直就是一場噩夢。」當地媒體報導，蛋價上漲是因為雞飼料跟獸醫藥品等進口商品變貴，是西方制裁造成的。檢察官則開始調查商家是否囤積哄抬價格，地方政府保證沒有缺蛋，不過社群媒體出現人們在雪地裡排隊買便宜雞蛋的影片，民眾諷刺彷彿重現蘇聯共產時代。經濟部緊急進口12億枚雞蛋，未來半年免稅供應，控制價格。俄羅斯11月通膨率同比去年達到7.5%，白菜、柳橙、黃瓜都貴五成以上，人民購買力降低非常有感。莫斯科居民格瑞布佐娃提到，「物價大幅上漲，漲5成甚至1倍。我說的不只是糧食價格，所有其他的東西都漲翻天，至少漲3倍。」俄羅斯總統蒲亭已經宣布，投入明年3月總統大選，爭取第5個任期要一路做到2030年，經濟問題對他不至於構成連任威脅，因為目前整體表現不差，石油天然氣出口的金雞母沒有被國際制裁切斷，改賣給中國印度，影子船隊拐個彎出口獲利非常可觀。加上開戰後投入巨額的軍事開支也大大刺激經濟推升通膨，官方預測今年GDP成長將達3.5%。俄羅斯總統蒲亭11月17日表示，「我不會說歐洲國家數字怎樣，免得看起來太傲慢自大。」不過也還有許多挑戰。首先是青壯人口流失，數十萬人被動員上戰場，加上數十萬人移民導致國內產業，特別是高科技業人才流失大缺工，明年GDP成長將會顯著下滑。此外嚴峻的通膨迫使央行持續升息路線，15%的利率讓窮人債務滾雪球，且俄羅斯家庭實際可支配所得落差大，雖然製造業與軍人薪資大漲，至少還有1570萬人生活在每月折合台幣不到5000元的貧窮線下，而官方統計數據通常報喜不報憂。俄羅斯經濟學家利皮茲分析，「7成俄羅斯人月入不到4萬盧布，約台幣1萬4千元以下，如果家裡還有妻小，家庭實際上就活在貧窮邊緣。他們宣布漂亮的經濟數字是因為即將舉行總統選舉，需要製造錯覺。」專家分析，如果西方要達到更好的制裁效果，就要找對方式施加更大的財政壓力，資本外逃、勞動力外逃與技術窒息，是3個關鍵領域。在戰線拉長，蒲亭持續侵略並與西方頑強對立的同時，戰爭的代價人民繼續承受。傳統市場顧客柳德米透露，「我們還有什麼選擇，當然我們不會死、不會哭，會找到方法活下去。」
俄烏戰爭／戰事僵局 2國前線士兵家屬請願讓退伍,2023-12-15,俄烏戰爭從2022年2月24日爆發到現在，俄羅斯與烏克蘭前線軍人的妻子、母親和家人，對於戰爭結束遙遙無期漸漸失去耐心。雙方都紛紛向蒲亭和澤倫斯基請願，希望讓作戰的軍人早日回家。,俄烏戰爭在2022年2月24日爆發後，俄羅斯總統蒲亭隨後在9月發布動員令徵兵30萬人，除了引發數十萬人為免於上戰場而逃離俄羅斯，各地婦女也舉辦各種抗議活動。抗議活動發起人安德烈耶娃表示，「最近有嚴重健康問題的女孩卻被很嚴厲地判刑，我忘記她面臨多少罰款，但蠻多的，外加7年監禁。因為製作反戰價格標籤還有社區服務，讓她在庭院鏟雪45天，反戰價格標籤等於7年監禁。」安德烈耶娃的丈夫被俄國徵召到烏克蘭參戰1年多了，僅短暫回家休息過兩次，安德烈耶娃也在國內發起「讓他回家」的活動。像她這樣，一邊提心吊膽又天天盼著丈夫回家的女性不在少數。抗議活動發起人安德烈耶娃提到，「我希望解除動員令讓他們回家，因為我相信在這1年裡，他們在前線已經非常盡力了甚至超出部隊的要求，他們是平民正在失去工作技能，也正失去生理跟心理上的健康。」安德烈耶娃說，一開始的立場大家都是支持的，但時間一久，戰況仍然膠著，使得人民漸漸失去耐心。而且「讓他回家」的提案，政府至今仍不回應，婦女們反而被指控她們的想法是受到西方國家的蠱惑，於是她把婦女們的想法直接印在衣服上，希望能得到大眾的關注及蒲亭總統的回應。烏克蘭這邊對於戰爭也漸漸感到疲乏。丹尼列維奇的丈夫在2022年3月就加入烏克蘭軍隊，直到現在僅休了25天的探親假，而她的丈夫其實是一名沒有任何作戰經驗的大學講師，就連自己兒子的婚禮也是在巴赫姆市的廢墟裡，透過視訊觀看。今（2023）年秋天，烏克蘭民眾向總統澤倫斯基遞交了一份由2萬5千人簽署的請願書，裡頭寫著，兵役不能這樣無限期的延伸下去，應該要有明確的退伍時間，而丹尼列維奇就是簽署人之一。基輔居民丹尼列維奇認為，「女性確實變得更堅強了，但代價是什麼?對某些人來說是精神崩潰，有些人則服用抗憂鬱藥物，每個人都付出了不同的代價。」基輔居民奧萊娜提及，「弟弟是我所親愛的人，從入侵的第1天起就一直在保衛這個國家，知道他何時回家非常重要，這是他生存的權利，這就是我們在這裡的原因。我們尊重政府，也知道他們為國家所做的一切，所有的戰士都這樣做，但他們有權休息。」當地的社群平台上還有個由前線軍人的妻子、母親和家人，總共有2千9百人所組成的社團，他們除了寫信給澤倫斯基闡述自己的觀點，也冒雨在街頭抗議，要求政府讓他們的丈夫、兄弟、兒子回家。
俄烏戰爭／澤倫斯基3度訪美 盼國會通過增加軍援預算,2023-12-13,烏克蘭總統澤倫斯基（Volodymyr Zelensky）第3度到美國華府訪問，他前往美國國會山莊會見共和黨和民主黨領袖，懇請國會通過增加軍援烏克蘭的追加預算案，並且與美國總統拜登（Joe Biden）舉行共同記者會。俄烏戰爭開始沒多久，拜登的支持言論是「無論會耗時多久」到現在是「能多久是多久」，讓外界揣測美國的態度可能有所改變。,烏克蘭總統澤倫斯基12日第3度到美國華府訪問，展開積極遊說行程。他前往白宮與美國總統拜登會面，拜登先前是強調美國會力挺烏克蘭對抗俄羅斯入侵，「無論會耗時多久」。但這次拜登在記者會強調，美國將支持烏克蘭「能多久是多久」，這句話被解讀，美國在支持烏克蘭上的態度可能有所改變。美國總統拜登強調，「我們將繼續向烏克蘭提供關鍵武器及裝備，能多久是多久，包括我今天剛批准的2億美元、急需的裝備、額外的攔截機、火砲和彈藥。」烏克蘭戰事陷入困境，和去（2022）年澤倫斯基風光訪美，並獲得美方500億美元援助案的待遇相比，澤倫斯基這次的行程更顯得急迫。他前往美國國會山莊會見共和黨和民主黨領袖，懇請國會通過增加軍援烏克蘭的追加預算案。眾議院議長強生（Mike Johnson）雖與澤倫斯基會面，但沒有公開合照或是影像，顯示共和黨對軍援案的立場沒有改變。烏克蘭總統澤倫斯基表示，「我們主張為自由而戰，無論蒲亭（Vladimir Putin）嘗試什麼，他都沒有贏得任何勝利。由於烏克蘭的成功，國防的成功，其他歐洲國家能夠免受俄羅斯的侵略。」根據白宮11日的情報，烏克蘭最近在阿夫迪夫卡（Avdiivka）和新帕夫里夫卡（Novopavlivka）的戰鬥中，讓俄羅斯損失慘重，造成1萬3千人傷亡及損失了220多輛戰車。而俄羅斯則認為，只要西方對烏克蘭的支持耗盡，度過這個冬季的軍事僵局，俄羅斯終究會獲得勝利的優勢。
俄烏戰爭／男性上戰場導致缺工 烏克蘭礦場首見女性礦工,2023-12-08,烏克蘭的男性幾乎都上戰場打仗了，導致缺工嚴重。當局為了補足缺口，把從蘇聯時代以來，禁止女性從事地底下工作的禁令加以解除，讓烏克蘭女性首度有機會，可以進到礦坑裡工作。,戴上礦工帽，穿上裝備，烏克蘭女性們正準備到煤礦坑裡工作。由於烏俄戰爭持續，男性幾乎都已經被徵召前往前線打仗了，在男性工人嚴重短缺的情況下，原本是女人止步的礦坑，第1次有女性在裡頭工作。記者提問：「第1次進入地底下工作的感覺如何？」女性礦工回答：「我記得很清楚非常可怕，但很有趣，對，非常有趣。」當地從蘇聯時代以來，就禁止女性從事地底下工作，這項禁令在戰爭爆發後被政府解除。克里斯蒂娜的家鄉，距離前線100公里遠，經常遭受到俄軍的飛彈襲擊，但為了工作，她只能克服恐懼，將媽媽和4歲的兒子留在家裡。5個月來，她一直在地底下470公尺深的地方擔任技術員，發動這些小型電動火車，將工人運送到距離電梯井4公里深的煤層工作。女性礦工克里斯蒂娜表示，「我們的男人被帶到前線，現在我們必須給予後援，沒有其他人可以到礦坑裡工作了，現在只剩下女人在這裡了，我們現在不能拋下這一切，去找別的工作，讓我們的男人失望，我們必須支持正在前線作戰的男人們。」這份工作很有趣，但也有難度，克里斯蒂娜說，電池蓋很重，蒸氣讓人不舒服，但給的薪水還不錯。她自己的哥哥也在同一個礦坑裡工作，可是哥哥和丈夫都在2022年烏俄戰爭開始時，就參軍去了，讓她覺得有種責任感，要為他們盡一分心力。礦坑工頭謝爾蓋提到，「越來越多的員工在軍隊服役，目前大約有千名男性在前線，我們需要代替他們，女人們都說『為什麼要待在家，我們要站在第二線給予幫助』，這是我從女人們那裡聽到的。」烏克蘭曾經擁有歐洲最大的煤炭工業，但自從蘇聯解體後，煤炭工業已經衰退了幾十年。這家私人的能源公司DTEK表示，原本有2萬名礦工，但將近3千人正在前線作戰，已經有42人不幸戰死。目前遞補挖礦工作的女性有4百人，占所有礦工的2.5%。
