報導標題,報導日期,報導大意,報導內文
石川強震／日本元旦地震是7.5還7.6？ 認識日本規模與芮氏規模差異,2024-01-02,日本石川縣能登地區於元旦下午4時10分發生規模7.6的淺層地震，石川縣志賀町偵測到最大震度7。但無論是地震規模還是震度，都是日本氣象廳制定的專屬日本使用的測量與分級方式，和台灣有什麼不同？若換算成國際常用的度量方式呢？,現行日本使用的地震度量，是自行制定的「日本氣象廳地震規模」。該計算方式於2003年9月25日使用至今，改善了舊有計算方式中的誤差問題，其特色是能在地震發生後3分鐘內計算出來，適合速報，然而若地震規模超過8就有可能會因為飽和而無法正確計算。以2011年發生的311大地震為例，當時日本氣象廳發布的速報規模是7.9，後續改為8.4，2天後又修正為國際慣用的地震矩規模9.0。地震規模與釋放能量的多寡有關，因此每個地震只會有一個規模數值，但卻會因為計算方式的不同而有所差異，以身高為例，就像178公分和70.1英吋、5.9台尺雖然數值不同，但同樣都是描述身高的尺度。除日本獨有的「日本氣象廳地震規模」、台灣常用的「芮氏規模」以外，還有6種地震規模計算方式，其中「地震矩規模」為目前國際常用的地震度量。台灣慣用的芮氏規模（又稱近震規模），初始是制定來研究美國加州地區地震而制定的度量單位，但由於儀器限制，若地震規模大於7.5就會產生飽和現象，也就是7.5以上的地震數值會趨近相同；且若觀測點距離震央超過600公里，該計算方式也會產生極大誤差。因此21世紀後，國際上普遍改用更能反應地震破裂過程的物理特性、且不會發生飽和的地震矩規模描述地震規模大小。地震規模比較震度是指地震發生時，各地不同的搖晃程度，會因與震央的距離而有不同數值，主要作為地震後救災與應變的參考依據。台灣所使用的震度是沿用日本舊有的分級，依照最大地表加速度、人體感受、屋內及屋外受震程度等面向，並參考其他分級制度制定出來的標準。過去台灣將震度分為8級，從0至7，但因為5級與6級的級距區間過寬，不利於區分災情差別，因此在2020年後又將5級與6級另增加強弱之分。日本也在1995年阪神地震後，重新對原有的8個震度劃分，目前與台灣一樣都有10個等級。美國地質調查局（United States Geological Survey，USGS）使用的則是修訂後的麥卡利震度分級（Mercalli intensity scale，MMI），從感覺不到至全部損毀分為I至XII（1至12），主要使用國家為美國、南韓等國，而歐盟、印度、以色列等國目前使用的震度分級也是延伸於此。最大震度比較
石川強震／至少15人喪生 日氣象廳解除海嘯警報,2024-01-02,日本石川縣能登半島2024元旦發生規模7.6強震，是自1885年有紀錄以來能登地區發生的最大地震，目前已知15人喪生。最初發布的大海嘯警報現已全部解除，氣象廳呼籲民眾仍應保持警惕，1週內仍可能發生類似強度的地震。,重災區輪島朝市地區有超過百棟房屋正在燃燒，範圍遍及好幾個街區。這棟傾倒的大樓底座露出且完全斷裂，從路面震裂可看出地震當下釋放的能量力道，多處房屋整個下陷，有些只剩屋頂，有些房屋半倒、有些全倒，有人受困瓦礫堆下，還有民眾心臟病發倒下，另外有人被掉落的東西砸傷送醫。日本首相岸田文雄表示，「關於自衛隊出動這方面，已經有上千人進入災區。目前警消與自衛隊海上保安廳以外，其餘地方前來支援的警察與救災人員也有634人，消防與緊急救火隊員2039人已到災區。」位於新潟、全球最大核能發電廠柏崎刈羽核電廠燃料池水溢出，但仍留在建物內，池水含有放射性物質，當局正測量放射性水平。這座核電廠12月27日經原能規委會同意，將2021年因防恐對策不足禁止運作的禁令給解除，如今地震造成燃料池水溢出，原本打算今（2024）年夏天重啟的計畫可能生變。而位於志賀町內的志賀核能發電廠，有機組變壓器出現漏油。NHK報導指出，「志賀核電廠失火，廠方表示2座核子反應爐無法運作。」石川縣能登半島2024元旦發生規模7.6強震，氣象廳表示地震發生後，石川縣周邊地區陸續發生超過百起地震。最初發布的大海嘯警報已全部解除。此前輪島市觀測到海嘯超過1.2公尺、金澤市有0.9公尺。有4列北陸新幹線先前因地震停駛11小時造成1400旅客滯留，目前恢復運作並均抵達車站。能登町與珠洲市連接的道路徹底斷裂；電力供應方面，石川縣停電超過3萬戶，石川、新潟均有醫療院所停水停電，部分通訊也中斷。
中國拖船闖鵝鑾鼻外3浬海域 一度稱海象不佳拒離開,2024-01-02,大選倒數時刻，中國侵擾動作頻頻。今（2）日凌晨，2艘中國籍拖船強行闖入我方領海，還一度進入鵝鑾鼻東方約3至4海浬處，而海巡也派出艦艇前往驅離，但對方以海象差為由不願離開，甚至出言嗆聲。,我方海巡人員廣播說道，「依中華民國的法律，貴船就是不能進來限制水域，請您依航海專業技術想辦法離開我限制水域。」中國拖船回應，「現在前面風太大，我只能慢慢走；現在正在走、正在離開；我要向右轉了，反正我轉得很慢。」從廣播聲音聽到，中國籍拖船對我方海巡人員嗆聲，還以避風等各種理由不願離開。而海巡艦艇基於人道考量持續監控伴航並廣播驅離，目前2艘拖船以及工作平台位於距鵝鑾鼻東北方17海浬海面上、航向北北東方向。海巡表示，早在去（2023）年11月就在蘭嶼發現拖船的行蹤，沒想到跨年期間又被發現沿著西部海域北上，這次還跑到我方禁限制海域內。目前無滯留的情況，海巡也會持續監控直到駛離。
2024大選／侯重提藍白聯合政府 柯文哲：先確認誰能做決定,2024-01-02,選戰倒數，各政黨候選人陸戰齊發，國民黨侯友宜回防新北本命區，1日拋出當初藍白合簽署6點協議仍算數，選後一定會成立聯合政府的說法，遭柯文哲反譏請國民黨先確認是誰在做決定；柯文哲上午與副手搭檔吳欣盈分進合擊，展開全台車隊掃街；民進黨賴清德則到嘉義輔選，日前「《憲法》災難說」惹議，賴清德重申，硬把《中華民國憲法》九二共識化才是真正的危險。,選戰倒數、啟動陸戰，民眾黨柯文哲上午與副手搭檔吳欣盈分進合擊，展開全台車隊掃街拉抬選情，對於侯友宜1日拋出當初藍白合簽署6點協議仍算數，選後一定會成立聯合政府的說法，柯文哲反譏，請國民黨先搞清楚現在是誰在做決定。民眾黨總統候選人柯文哲表示，「請國民黨先搞清楚是誰在做決定？朱立倫不是說堅壁清野嗎？侯友宜又跑出來講這種話。現在跟國民黨沒得談，都已經是中共支持的人，要談什麼？」柯文哲車隊從新北市出發，一路由北而南，並於8日從高雄、台南折返再回防北台灣。民進黨賴清德也抓緊時間到嘉義輔選立委，日前「《憲法》災難說」惹議，賴清德重申，硬把《中華民國憲法》九二共識化，才是真正的危險。民進黨總統候選人賴清德指出，「中國國家主席習近平，已經多次定義九二共識就是一個中國原則、台灣一國兩制的方案，在這種狀況下硬是要把《中華民國憲法》九二共識化，才是真正的危險。」對於趙少康在副總統辯論會中猛攻萬里老家爭議，賴清德回應已經交給律師處理，交付公益信託，不會改變。國民黨侯友宜上午回新北本命區掃街，輔選大將李乾龍更斷言「棄侯保柯」不會實現。侯友宜新北競總總幹事李乾龍提到，「我想棄保效應在未來會不會成真，我們還在期待、觀察中，我想大家對侯康配的支持度一直有很高期待。」藍營評估，侯友宜回防北北基桃要保持100萬票左右的差距才有勝選機會，針對侯康配在封關民調顯示流失中間選民，李乾龍認為民調只是參考，對侯康配非常有信心。
前職棒投手張誌家心肌梗塞 病逝中國享年43歲,2024-01-02,前職棒投手張誌家曾經在國際賽為國爭光後名揚天下，還曾經出過專輯，並且效力日本職棒西武獅隊。2010年因為職棒簽賭案離開棒球圈，今（2）日傳出因為心肌梗塞在中國的住處過世，享年43歲。,從張誌家的臉書中看到友人留言，表示他因為心肌梗塞在睡夢中病逝的消息。張誌家因為涉入職棒簽賭案，永不錄用，他曾經轉往餐飲業發展，近年則轉往高球界發展，今（2）日卻傳出在中國猝逝的消息。他的家人也證實張誌家在中國過世消息，目前正在準備證件將前往中國處理後續事宜。
石川強震／旅日18團547台人均安 辦事處將協助1受困台僑,2024-01-02,日本石川縣規模7.6強震後餘震不斷，經駐大阪辦事處掌握，目前我國滯留災區旅行團及人數，包括可樂旅遊共5團147人、雄獅旅遊共8團240人、山富旅遊共3團100人、燦星旅遊共2團60人，總計18團547人，所有團員一切平安。駐大阪辦事處除第一時間表達慰問外，也將隨時提供國人各項必要協助。,受地震影響航班被取消的團客，在旅行社安排下，這兩天都會入住新潟地區飯店。2日上午導遊帶著旅客前往神社祈福，正值日本當地新年假期，神社的活動都照常舉行，也有不少遊客前往參拜。導遊邱木忠指出，「經過昨天地震，今天白天大家還是一樣，在過年期間神社有廟會有參拜的活動，一如往常人潮很多。」燦星旅行社表示，目前滯留當地2團旅客，含導遊工作人員共65名，已經安排團員3日搭車到仙台機場，搭乘星宇航空下午飛回台灣。燦星旅遊總經理殳蓁蓁表示，「地震其實發生在能登半島，並不是在新潟，但因為新潟的機場 地勢關係，所以目前暫時是關閉的，我們會用大巴幫我的客人平安地自仙台回到台灣。」目前我國有4家旅行社，在北陸周邊有旅行團，以雄獅8團200多人最多，可樂旅遊也有5團，總計18團547人，行程都未經過災區，團員都平安，另有21位自由行原定在1月1日從新潟搭機返台，因機場關閉而暫留機場。外交部也收到目前災區有1位僑胞受困，經大阪辦事處已經聯絡上。外交部發言人劉永健回應，「受困的僑胞，我們的駐大阪辦事處已經取得聯繫，並已經提供協助。」而災後第一時間新潟機場關閉，由於新潟為台灣虎航獨飛的營運航點，虎航表示對1日航班取消未能返台的旅客，已提供選擇公司其它鄰近的航點返台。另因目前新潟機場地區的警報已解除，依照表定營運航班，預計5日桃園前往新潟航班可正常營運。
騎士元旦邊翹孤輪邊放煙火 涉公共危險罪究辦,2024-01-02,迎接新年到來，除了有跨年晚會施放煙火，不少人也會自行準備。但是在元旦當天有一群騎士在核一電廠附近，翹孤輪騎車同時拿著煙火施放；也有汽車駕駛1日凌晨0時許開在新北市的二重疏洪道，車內乘客手持煙火從車裡對外發射，這些危險行為不僅會吃上罰鍰，更可能涉及公共危險刑責。,銀色休旅車開在疏洪道，乘客探出頭、手裡冒著煙，好幾發火光突然亂竄車道，隔壁黑色轎車也有乘客跟著做，從車裡手持煙火對外不停發射。民眾表示，「之前是有看到，但是最近比較少；他就是邊開車然後後座有人拿著小型煙火。」危險場面就在新北市三重，1日凌晨0時許2輛車行駛二重疏洪道，駕駛一邊開著車、乘客一邊放煙火，即使警方沒獲報現在也主動偵辦，最高重罰超過18萬，更將朝公共危險罪嫌偵辦。新北市三重分局大有派出所長俞明廷表示，「民眾手持煙火對外發射行為已明顯造成公眾往來之危險，本分局目前已鎖定涉案車輛，將主動介入偵辦處以新台幣最高3萬6000元罰鍰；另將通知消防單位依照《爆竹煙火管理條例》處以最高新台幣15萬元罰鍰。」元旦這一天也有騎士聚集，約在核一電廠附近淡金公路尬車技，只見他們騎車「翹孤輪」，一邊還手握煙火在行進間施放，危險行為不斷。新北市金山分局交通組組長鍾任瑞說道，「駕駛重機車未戴安全帽，那沿線單輪行駛並且施放煙火等危險駕車行為，將依違反《刑法》第185條公共危險罪究辦外，也會依《道路交通管理處罰條例》開罰。」跨年玩過頭，用危險方式慶祝，罔顧用路安全，新的一年從繳罰單開始，迎面而來還可能涉及刑事責任。
詐團吸收欠債者充當車手 初估受害金額高達6千萬,2024-01-02,一個橫跨北中南三地的詐欺集團，吸收拘禁積欠債務者充當人頭車手，利用假檢警術語告訴被害人涉及洗錢、必須監管帳戶，再由車手將錢提領一空。警方初估有6人受害，受騙金額高達6000萬元。日前集團成員前往銀行提款時，當場被埋伏的維安特勤警力逮捕壓制。,詐欺集團成員與車手剛從銀行提款完成正準備上車離開，維安特勤警力一擁而上，將22歲洪姓主嫌等人全部壓制在地。維安特勤員警說道，「下車出來，警察，下車。趴下、趴下，不要跑。」刑事局中部打擊中心去（2023）年中偵辦詐欺集團，溯源發現漏網之魚，洪姓主嫌等6人假冒檢警佯稱被害人涉及洗錢案件需監管帳戶，要求辦理網路銀行與約定轉帳，受害人交付存摺與密碼就被提領一空。再吸收居無定所積欠債務者充當人頭車手，拘禁在新竹火車站附近旅館管理，詐騙得手後由車手拿著偽造採購合同臨櫃提款。刑事局偵六大隊第三隊隊長楊承璋指出，「佯稱你的帳戶涉及洗錢，必須要做帳戶監管，要求被害人到銀行設定網路銀行以及約定轉帳功能後，被害人不疑有他交付存摺及密碼，就被提領一空。」警方先後在高雄、新北、新竹3地逮捕詐欺集團犯嫌，共查獲268萬現金、人頭戶私章、偽造採購合同等證物，目前清查有6名被害人，遭詐騙金額高達6000萬元左右，全案依詐欺、洗錢、組織犯罪等罪嫌移送新竹地檢署偵辦，並向新竹地院聲請羈押獲准。
南韓最大在野黨黨魁李在明 頸部遭刺倒地送醫急救,2024-01-02,南韓在野共同民主黨黨魁李在明，當地時間今（2）日上午10時30分在南部大城釜山進行預定行程時，遭一名60多歲男子持武器攻擊頸部，隨即倒下大量流血，在場人員立即止血急救，送往釜山大學醫院治療，兇嫌也當場遭逮捕。,韓媒報導，事發當時李在明正被眾多支持者圍繞歡呼，兇嫌假稱要索取簽名向李在明靠近，不料卻突然拿出大約30公分長的武器，襲擊李在明左邊頸部。李在明當下意識清醒，遭攻擊10分鐘左右就被送上救護車，中途轉移到直升機，在當地時間約11時30分抵達急診室接受治療，尚未公布最新情況。目前兇嫌身分和行兇動機還無法確認。
批《教師管教辦法》矯枉過正 全家盟籲給學生安全校園,2024-01-02,新北市國中生在校園遭割頸最後不幸身亡，2日上午全國家長會長聯盟來到教育部遞交抗議書，質疑現行的《教師輔導與管教學生辦法》對教師綁手綁腳、管不了學生，而讓從少觀所出來的學生直接進入校園恐成未爆彈，要求教育部與相關部會檢討相關制度。,高舉布條，從台灣北中南各地來的家長代表集結教育部抗議，不滿日前新北國中生在校遭人以彈簧刀割頸、不治死亡，讓許多制度性問題浮現，其中現行的《教師輔導與管教學生辦法》已經矯枉過正，讓教師綁手綁腳，根本無法檢查私人物品。全國家長會長聯盟理事長張哲維指出，「綁手綁腳老師根本不敢動，一動就被投訴，所以造成現在學校基本上完全沒有辦法去執行安全檢查。」而來自苗栗的前會長黃正銘則認為，此次涉案少年從少觀所出來就直接回歸學校，恐怕類似的案件不只這一例，並憂心這是校園的未爆彈。全國家長會長聯盟前理事長黃正銘表示，「這好像一個未爆彈，目前在台灣存在了有多少這種未爆彈，家長怎麼能放心地把我們的孩子送到校園呢？」在場家長代表也為不幸身亡的國中生默哀，隨後將抗議書直接交給教育部國教署官員；教育部則重申已經著手訂定相關標準流程，讓教師能更安心輔導管教。 教育部國教署副署長戴淑芬回應，「研議訂定一個標準作業流程，讓這個定義可以明確、讓整個流程會有學校可以依循的一個標準。」全國家長會長聯盟強調，此次事件從教育部的管教政策制定、法務部的保護管束做法、再到地方政府的執行，家長心裡有一大堆問號，要求追究責任並立即改善，還給學生一個安全的校園。
